[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-239.98] 订阅 转发 打赏支持明镜与点点栏目
[240.00-269.98] 订阅 转发 打赏支持明镜与点点栏目
[270.00-271.74] 增加的一個營收增加
[271.74-273.66] 毛利增加的狀況
[273.66-277.40] 那在實際上在bottom line的這個部分的話
[277.40-283.36] 盡力歸屬到母公司這邊的那個股東這邊的業主的部分
[283.36-290.56] 是從前一年度的15.04億增加到18.3億
[290.56-291.60] 那EPS的話
[291.60-295.96] 從前一年度的1.28增加到1.56
[295.96-299.20] 大概都有一定程度的一個增加
[301.12-304.20] 那在現金流量的這個部分
[304.20-309.60] 那就是整個公司這邊看起來現金流量相對來講也是比較健康的
[309.60-312.96] 那去整個我們如果看期末現金的話
[312.96-318.36] 是從去年期底的63.82億增加到
[318.36-322.46] 前年年底的63.82億
[322.46-325.94] 增加到去年期底的71.03
[325.94-328.50] 那其實在包含在現金的這個部分
[328.50-330.44] 我們也是持續累積
[330.44-332.62] 那營運活動這邊的話還是一樣
[332.62-334.04] 就是都有
[334.04-342.10] 我這邊要解釋一下今年度的那個2024年營運活動是46.12億
[342.10-345.92] 那流入較去年跟前年是來得比較少
[345.92-349.82] 那22年跟23年分別是流入65億
[349.82-353.78] 主要差別其實應該是在這個營收增加的部分
[353.78-355.94] 它造成了有一些額外的營運增加的影響
[355.94-359.26] 那就是在這個年度的這個現金的一些支出
[359.26-361.82] 那這應該還是算是一個自然現象
[361.82-364.14] 那不過就是就整體而言的話
[364.14-366.44] 在公司在現流的這個部分
[366.44-370.02] 相對來講其實是在第一次收款是有改善的
[370.02-374.12] 然後再來的獲利也是增加的
[374.12-381.28] 那在去年度從近五個季度的一個營收的部分來看
[381.28-384.86] 那我就來講大概234Q啊
[384.86-385.90] 去年第四季的單季營收是
[385.94-387.48] 112億
[387.48-390.80] 那較第三季113億是略減
[390.80-395.16] 那主要這還是一個季節性的一個因素
[395.16-400.02] 那不過去年比較特別的應該是說正常應該是
[400.02-404.12] 營收應該是在第三季見高點
[404.12-408.46] 那不過去年的話其實可以發現其實234季
[408.46-412.82] 相對來講營收狀況其實就是相對來講是平穩
[412.82-415.90] 那在毛利率的這個部分的話第三第四季大概是
[415.94-422.08] 大概也都維持在接近20%左右的那個毛利率的一個位置
[422.08-426.94] 那以各個營業單位各個那個事業單位來講的話
[426.94-428.74] 我們可以看就是
[428.74-431.30] 看到這個就是右邊的這個
[431.30-432.58] 營收佔比
[432.58-434.12] 那以
[434.12-437.70] 2024年的話其實可以看得出來其實在
[437.70-441.80] 特用材料的這個部分的話在第三跟第四季其實
[441.80-445.64] 佔公司整體的一個營收已經到27%了
[445.94-448.50] 相對來講跟過去就是
[448.50-450.30] 第二大的那個
[450.30-452.60] 的一個營收單位其實
[452.60-454.14] 原本是電子材料
[454.14-456.94] 那到去年到第四季大概是
[456.94-461.30] 特用材料其實是有持續在因為產能或者是在
[461.30-467.44] 產能跟營收的一個增加的這個部分那在這個部分其實是持續有一些
[467.44-470.52] 成長其實是相對來講是蠻顯著的
[470.52-473.08] 那去年以三個事業單位來講
[473.08-475.90] 如果以數量跟金額的一個成長率
[475.94-479.78] 特用材料大概有到10%左右
[479.78-482.60] 那這個也是今天請那個
[482.60-489.00] 那個特用材料事業部的那個王部長來跟各位說明蠻重要的一個原因
[489.00-492.06] 那我這邊的那個
[492.06-493.60] 說明大概就到這邊
[493.60-495.40] 接著我們就請
[495.40-505.38] 我們的那個王部長
[505.94-508.50] 各位
[508.50-510.54] 我是憲勤大家好我叫王安
[510.54-514.64] 我是產品材料特殊材料事業部的部長
[514.64-516.18] 我是王宏宇
[516.18-517.20] 那
[517.20-519.26] 接下來我來介紹一下
[519.26-522.58] 我們特殊材料對愛這其中一支產品線
[522.58-524.38] 叫做光度化材料的
[524.38-525.66] 生產區執行官
[525.66-528.22] 那
[528.22-533.84] 首先我還是針對我們公司對域的簡介然後再來是光度化材料的
[533.84-535.90] 那什麼是光度化材料我大概不太清楚
[535.90-537.44] 那我大概就說明了
[537.44-544.10] 然後再來就是市場趨勢跟它的展望
[544.10-546.40] 那我大致上介紹一下我們的公司
[546.40-547.94] 它包含了六個方向
[547.94-549.22] 公司概況
[549.22-550.50] 特殊區別
[550.50-552.02] 核心技術
[552.02-553.06] 生產基地
[553.06-555.36] 聯發方向跟國際的
[555.36-557.40] 我講的比較快一點
[557.40-559.20] 因為它就是大概
[559.20-561.24] 整個包含整個
[561.24-563.04] 產品材料的一個
[563.04-564.32] 一個大部分
[564.32-565.86] 大包的一個方向
[565.90-568.98] 我們長期才要是1964年
[568.98-572.56] 所以去年我們60年生育人
[572.56-576.66] 那我們大概生產地有25個在全世界
[576.66-578.44] 當然還是比較有
[578.44-579.22] 大陸的
[579.22-581.26] 大陸就大概14個
[581.26-582.80] 那我們
[582.80-584.58] 年功大概快5000人
[584.58-588.18] 去年的2020年總共是412億
[588.18-589.96] 那我們是比較
[589.96-592.02] 附中聯發的一個公司
[592.02-593.30] 所以我們
[593.30-595.86] 整個我們不像比較高
[595.90-597.70] 我們是上游的那個文字化業
[597.70-600.00] 它是生產中生產型的
[600.00-603.58] 我們是處於對接客戶下游的一個研究型的一個產業
[603.58-605.38] 所以我們的研發股票比較高
[605.38-607.68] 跟營業的人推起來
[607.68-609.98] 我們大概三億多勝
[609.98-614.08] 我直接要導致高估的就覺得很不一樣
[614.08-616.64] 那我們其實整個公司就三個
[616.64-618.42] 三個板塊在
[618.42-619.20] 正運作
[619.20-620.74] 一個就是
[620.74-623.30] 一直踩到這邊就是剛好幫助
[623.30-625.08] 那第二個就是
[625.08-625.86] 其實最大部分的
[625.90-626.92] 就是合成數值
[626.92-628.46] 那是我們的老本
[628.46-629.48] 那
[629.48-630.50] 再來就是
[630.50-631.54] 那個剛好幫助
[631.54-633.58] 以及我這邊的特殊材料
[633.58-634.34] 就是
[634.34-635.12] 萬物化
[635.12-637.68] 這邊
[637.68-639.72] 那這是大概
[639.72-641.78] 2020年的一個營收比重
[641.78-643.06] 讓大家看一下
[643.06-645.62] 因為其實它裡面有太多的產品
[645.62-647.14] 都比較性向
[647.14-649.46] 所以會後如果有
[649.46-653.80] 那個消息更了解更仔細的我們再做討論
[655.90-657.94] 那我們大概在
[657.94-658.98] 應該在
[658.98-660.50] 新疆有65國
