[0.00-6.40] 說明會,我們很榮幸邀請到龍城店的呂谷欽董事長以及IR Rita來到看核證券
[6.40-10.50] 以各位投資經紀人分享公司的經營時機以及未來展望
[10.50-13.00] 接下來的時間我們先交給Rita,謝謝
[13.00-29.80] 感謝大家今天的參與法說,我是投資人關西孫鳳盈
[29.80-34.30] 先進行簡報,包含公司簡介經營成果
[34.30-36.96] 最後的部分是未來展望
[36.96-42.98] 公司的產品以強固形觀來看,是否有可能的
[43.00-47.50] 工業用行動電腦提供內建的GPU強固形電腦
[47.50-51.94] 公司在AI和強固形機器人應用高成長帶動下
[51.94-54.78] 營收動能持續提升
[54.78-59.62] 但隨AI相關的解決方案佈局與應用持續擴大
[59.62-62.18] 提出相對應的軟硬體整合方案
[62.18-66.80] 推出強固形產品與邊緣AI運算平台的解決方案
[66.80-73.00] 除佈局方面,龍城店在美國、加拿大、德國、日本、中國等地
[73.00-75.42] 設有分公司
[75.42-79.52] 去年營收的部分,每金9559萬
[79.52-84.56] 毛利率40%、淨現金權益比34%
[84.56-97.12] 全球52個銷售通路、612位員工、RB佔比169位
[97.12-102.86] 2024年的財報,營收30.58億元,年增17.7億元
[103.00-109.60] 毛利率40%、盈益率19.8%、淨利率18.3%
[109.60-116.02] 淨利5.6億元、年增10.6%、EPS7.04元
[116.02-122.38] 去年的營收淨利與EPS接創歷史新高
[122.38-128.02] 2月份的營收因為出貨時程的關係遞延至3月
[128.02-129.82] 3月的營收明顯回溫
[129.82-132.82] 預期第一季的營運表現將優於去年重啟
[133.00-139.28] 在銷售區域比重方面
[139.28-143.04] 87%是強固型平板電腦相關應用
[143.04-145.64] 12%是特殊型顯示器
[145.64-148.52] 在銷售區域比重部分
[148.52-150.98] 歐洲37.5%佔比最高
[150.98-154.08] 亞洲以日本跟新加坡為主
[154.08-156.48] 28.4%
[156.48-159.32] 美洲的部分
[159.32-161.00] 29.8%
[161.00-162.84] 台灣內銷區域比重約27.5%
[163.00-165.36] 的銷售客利率為約1.5%
[165.36-169.34] 加拿大於中間3.8%
[169.34-171.78] 公司與主要銷售國家
