以下是重排後的段落式逐字稿：。[932.56-934.56] 投資法人提問。[934.56-936.56] Fever to P5一頁外收入。[936.56-938.56] 剛講到台幣兌換利益。[938.56-940.56] 在。[940.56-942.56] 25年第一季。

[942.56-944.56] YY減少40%。[944.56-946.56] 這是指去年有從。[946.56-948.56] 外幣兌換台幣。[948.56-950.56] 今年比較大。[950.56-952.56] 比較少的意思嗎。[952.56-954.56] 另外在什麼情況下公司會有。

[954.56-956.56] 會對比較大的需求。[960.56-962.56] 剛剛對就是剛。[962.56-964.56] 2025年第一季。[964.56-966.56] 相對於2024年第一季就是。[966.56-968.56] 外幣兌換利益是比較小。[968.56-970.56] 2025年第一季。

[970.56-972.56] 第一季其實台幣還是有走變。[972.56-974.56] 第一季是有。[974.56-976.56] 還是有兌換的意義的。[976.56-978.56] 相對於2024年。[978.56-980.56] 兌換的幅度是比較大的。[980.56-982.56] 所以。

[982.56-984.56] 我沒有記錯的話。[984.56-986.56] 其他各個國家的。[986.56-988.56] 匯率也是都是走變。[988.56-990.56] 那就2024年。[990.56-992.56] 所以這個剛剛。[992.56-994.56] 回答您的問題是對的。

[994.56-996.56] 然後第二個。[996.56-998.56] 第二個問題是問說。[998.56-1000.56] 匯率。[1000.56-1002.56] 匯率什麼情況會。[1002.56-1004.56] 比較大影響比較大。[1004.56-1006.56] 那。

[1006.56-1008.56] 基本上匯率。[1008.56-1010.56] 匯率對我們的影響會是。[1010.56-1012.56] 比較短期的。[1012.56-1014.56] 就是說。[1014.56-1016.56] 因為我們跟客戶有。[1016.56-1018.56] 有一個比較有個。

[1018.56-1020.56] 主要客戶啦主要客戶還有其他客戶。[1020.56-1022.56] 也是一樣那但是跟主要客戶間。[1022.56-1024.56] 是有個比較即時的。[1024.56-1026.56] 依照匯率去調整。[1026.56-1028.56] 價格的機制。[1028.56-1030.56] 所以基本上。

[1030.56-1032.56] 一個月內。[1032.56-1034.56] 就可以去調整完。[1034.56-1036.56] 就是會依照。[1036.56-1038.56] 幣跌的波動。[1038.56-1040.56] 去調整價格。[1040.56-1042.56] 所以。

