[0.00-2.30] 欢迎来到Borah Pharmaceuticals
[2.30-3.82] 4th Quarter 2024
[3.82-5.68] Financial Results Conference Call
[5.68-8.00] 此时,所有参与者
[8.00-9.16] 都在听听式
[9.16-11.74] 以后的准备评论
[11.74-13.14] 我们会持续提问
[13.14-15.28] 您可以在电话中
[15.28-15.74] 在电话中发布您的问题
[15.74-19.26] 作为记录,此次的电话
[19.26-22.72] 在10月10日,2025日
[22.72-24.60] 今天与我联系的
[24.60-26.32] 准备评论是Bobby Sheng
[26.32-28.82] Borah Pharmaceuticals的总理和总裁
[28.82-30.42] 我们还有
[30.42-31.58] CFO Alice Wong
[31.58-33.28] 和总裁Simon Chen
[33.28-35.02] 我们先开始
[35.02-36.36] 请提醒您
[36.36-37.54] 这次的电话
[37.54-38.56] 可能也有
[38.56-39.66] 向前看的说明
[39.66-41.22] 关于我们的成长
[41.22-42.60] 和未来的行动结果
[42.60-44.24] 发掘和发展
[44.24-45.16] 我们的药物选举
[45.16-46.84] strategic alliances
[46.84-48.08] 和intellectual property
[48.08-50.92] 以及其他不史的事
[50.92-51.72] 或资料
[51.72-53.44] 各种风险
[53.44-55.18] 可能会使我们的实际结果
[55.18-56.90] 不同于那些
[56.90-57.62] 表达的或
[57.62-58.80] 在这种方式中
[58.80-60.54] 决策后
[60.54-62.54] 和 Navajo
[62.54-64.12] ���el
[64.12-65.16] assist
[65.16-66.62] 国际业
[66.62-68.60] 这是我们 thick
[68.60-69.10] 事业
[69.10-70.48] 传播
[70.48-71.44] 一起
[71.44-73.30] 而
[73.30-74.82] 微博
[74.82-76.40] 认这权
[76.40-80.08] tournament
[80.08-81.24] 意义
[81.24-83.38] 教育
[83.38-85.02] 浅
[85.02-87.14] 大胆
[87.14-87.78] 广域
[87.78-88.72] 四六月
[88.80-89.40] 谢谢大家的介绍
[89.40-91.82] 我们很高兴要宣布
[91.82-94.80] 我们的2024年金融结果
[94.80-96.72] 和我们的未来目标
[96.72-98.78] 2024年
