[0.00-4.00] 好了可以开始了谢谢
[4.00-8.80] 好那我们现在就因为时间也到了
[8.80-13.34] 我们就正式开始我们这次法说会的内容说明
[13.34-22.22] 好那首先在我们正式那个说明之前
[22.22-24.54] 我想要请各位看一下免责声明
[24.54-27.76] 那我就简单讲一下这个免责声明的重点
[27.76-31.04] 因为我们这次的报告里面会有一些财务资料
[31.04-35.52] 那原则上这些财务资料最终还是要请各位
[35.52-39.38] 去跟我们的财报以我们的财报为准
[39.38-41.82] 那第二个就是我们在说明里面
[41.82-46.30] 可能有一些是属于简单性的一些叙述
[46.30-51.32] 那这个简报资料我们事实上就如同文字上写的
[51.32-54.16] 我们为保证它的正确跟完整性
[54.16-56.64] 也不代表我们看到相对产业状况
[56.64-57.74] 或者是后续重点
[57.74-60.30] 或者是用到发展的一些完整论述
[60.30-63.28] 那第三个事实上就是提醒
[63.28-65.34] 以上我们今天的所有内容
[65.34-68.14] 如果没有经过我们公司书面同意
[68.14-71.90] 那我们希望不得任意解录使用
[71.90-75.64] 好那我们就开始进行我们今天的一个报告
[75.64-79.24] 那我们今天报告大概分成三个部分来谈
[79.24-81.86] 第一个是有关公司简介的部分
[81.86-85.26] 那第二个部分是财务资料的部分
[85.26-87.62] 第三个是我们会来稍微
[87.62-90.70] 简单说明一下整个公司未来的营运策略
[90.70-96.92] 好那康乃香我想各位先进可能也是不会陌生
[96.92-99.40] 因为我们也是上市很多年的公司了
[99.40-101.56] 那我们至今已经55名
[101.56-105.90] 那截止到1月底我们现在的总员工人数大概是761位
[105.90-111.42] 那在品牌的部分我想康乃新是我们现在是主要的一个品牌
[111.42-116.10] 好那就目前的公司的一个据点来讲
[116.10-117.42] 我们还是
[117.62-124.78] 主要的生产基地目前是在扬州跟台湾的台南地区
[124.78-127.60] 那有三个厂
[127.60-133.24] 口疗厂还有将军家里各有三个厂
[133.24-141.94] 那台北这边是我们的总管理处就是总公司的地方
[141.94-145.78] 那么在品质认证部分因为公司事实上对
[145.78-147.58] 产品的品质是非常重视的
[147.58-147.60] 那么在品质认证部分因为公司事实上对产品的品质是非常重视的部分
[147.62-154.78] 所以我们在整个的各项品质认证的作业我们也是非常尽心的很积极的在办理
[154.78-158.62] 那但是这些认证的一些
[158.62-162.72] 内容事实上是蛮多的我就不再一一赘述那请各位
[162.72-167.08] 自己先进看一下
[167.08-172.70] 那我们来看看整个康乃香的核心技术跟应用的部分
[172.70-177.58] 不好意思我见深意喉咙有点不太舒服
[177.62-182.74] 我想我们事实上在整个核心技术我们是focus在两个部分
[182.74-185.82] 以生产技术跟产品开发来讲
[185.82-191.44] 在生产技术我想康乃香有一个比较特殊的地方就是我们机械的设计
[191.44-195.54] 那所以我们有很多的机器的设计
[195.54-200.14] 新增的设备也好或者是机器的改造也好
[200.14-205.02] 我们很多都是自己公司有自己的know-how跟自己的作业
[205.02-207.58] 那也搭配了外部的厂商一起来做
[207.58-213.72] 那所以在整个机械的弹性上来讲我们事实上是比较高度的有高度的弹性
[213.72-218.84] 那在产品开发的部分我们应该算是材料
[218.84-224.98] 产品跟包装设计这三个上中下游的部分我们事实上
[224.98-228.58] 是有整合性的一个功效
[228.58-234.72] 那布置部的部分待会我们有一个章节我们可以来谈谈整个康乃香在布置部
[234.72-237.54] 这一块的一个内容
[237.58-243.72] 所以我们接下来先看一下整个公司的在产品这个领域的一个开发
[243.72-247.82] 历程那我们应该从1969年我们从
[247.82-255.76] 卫生棉的这样的一个产品
[255.76-260.36] 再点下去
[260.36-262.92] 没有这一块我还没讲完
[262.92-267.02] 在1969年我们整个卫生棉的一个投入
[267.02-271.62] 那我们从富佑的这一块药布丝巾
[271.62-273.16] 一直到过滤
[273.16-274.18] 滤裁
[274.18-276.74] 那甚至于在这几年
[276.74-280.58] 我们重点是放在整个
[280.58-284.18] 绿能还有机能性的这些产品上
[284.18-289.04] 那更重要是我们从2021年开始我们投入了一些
[289.04-296.20] 高科技的维纤布的一个产品开发跟推展
[296.20-296.46] 好那在卫生棉的这一块我们在1969年我们在1969年开始我们投入了一些高科技的维纤布的一个产品开发跟推展
[296.46-299.78] 那在卫生棉的部分大概分成四类的产品
[299.78-305.16] 那这一个类别是公司目前主要的一个品项类别
[305.16-309.78] 占了我们整个公司营收占比大概是55%
[309.78-312.84] 那也事实上现在
[312.84-315.92] 以卫生棉的跟护垫这一块
[315.92-317.70] 我们在
[317.70-318.74] 市占
[318.74-320.78] 市占上我们还是有
[320.78-323.34] 有前三降的一个比重
[323.34-326.42] 那卫生棉条是我们公司比较特殊是
[326.46-328.26] 应该在亚洲来讲
[328.26-333.88] 我们是少数可以生产卫生棉条的一个厂商
[333.88-339.52] 那尿裤的部分我们大概涵盖了婴儿尿裤跟成人尿裤的部分
[339.52-346.42] 那这一类的产品目前来讲占了公司的占比大概有13%
[346.42-350.78] 那接下来是夫妇类的产品这里面包括湿巾
[350.78-352.06] 化妆棉
[352.06-353.86] 擦拭布等等
[353.86-355.64] 那尤其是在湿巾跟化妆棉的部分
[355.64-363.84] 我们事实上的市占的比例都是非常高的
[363.84-372.02] 那夫妇类这一类的产品目前占整个公司营收占比大概是21%
[372.02-376.12] 那么我们接下来看康纳箱的整个材料的发展
[376.12-382.00] 那康纳箱其实是在布织布算是在亚洲区
[382.00-384.06] 算是还算
[384.06-385.60] 投入蛮深的一个
[385.60-388.68] 在布织布这个领域投入蛮深的一个
[388.92-390.72] 的一个厂商
[390.98-393.80] 那我们从1969年的数字工法
[394.04-397.12] 那我们可以看到陆续的从热风热压
[397.38-399.68] 纸铅龙喷水针复合
[399.94-403.52] 甚至于到后面的这些所谓的功能性
[403.78-405.56] 复合功能性的材料
[405.82-409.16] 那尤其是在2019年开始我们开始
[409.40-413.76] 在研究分割纤维的这样的一个投入
[414.02-415.56] 那以康纳箱的一个
[415.80-418.68] 布织布的一个技术的范畴来讲
[418.92-422.26] 在布织布这个产业里面算是非常完整的
[424.04-428.66] 所以我们在整个布织布类目前的这些品项
[428.92-430.44] 实际上是非常多
[430.70-431.98] 那我们
[432.24-434.28] 以大部分来讲
[434.54-437.36] 我们除了自用之外我们也开始
[437.62-440.18] 有一些比例
[441.20-442.48] 在销售上
[445.80-451.48] 接下来第二个部分说明的是整个财务的资料的部分
[452.52-457.64] 那我们首先看到整个去年的整个营收的部分大概是
[457.88-462.76] 29亿人民29亿台币的一个金额
[463.00-468.90] 那我们在去年因为有两个主要的因素第一个就是
[469.16-470.94] 在我们的扬州厂
[471.46-473.76] 那因为受到整个中国市场
[474.02-475.56] 他的景气低迷
[475.86-482.00] 那所以在整个扬州在整个2024年有一个比较大的一个亏损之外
[482.52-485.84] 第二个部分是我们在
[488.40-491.98] 就是我们的口聊新厂
[492.50-498.38] 那口聊新厂因为在前年底开始机器陆续的开始到位
[498.64-502.74] 那整个设备也开始在做整个的组装
[503.00-505.30] 那同时公司在这一块的市场
[505.56-508.12] 调研等等的投入也开始进入
[508.38-512.22] 所以有一些前期比较高的一些成本
[512.46-513.74] 也陆续的
[514.00-514.52] 投入
[515.02-519.90] 那也因此在这一块也产生了比较高的费用跟成本
[520.40-522.96] 那第三个损失的部分
[523.22-525.52] 是因为我们在去年
[525.78-526.80] 2月份
[527.06-529.62] 我们有一个火灾事件
[529.88-533.98] 那这个部分的火灾也影响到整个公司在
[534.22-535.26] 虽然
[535.56-536.84] 在整个资产上的
[537.10-542.72] 资产上的一个保险事实上有火险等等的这些资产保险来
[542.98-543.74] 来cover
[544.26-545.28] 但是也因为
[546.82-550.14] 机台因为受损他没有办法录取的生产
[550.40-554.76] 所以让整个公司原先预计的这些销售的活动
[555.02-556.54] 他受到一些限制
[557.06-562.70] 所以也影响了相对的这部分的成本跟费用也相较于在去年是
[564.22-565.26] 有发生比较高的
[565.56-566.84] 成本跟损失
[567.34-570.16] 所以整个结算下来我们在去年
[570.68-571.70] 因为
[571.96-574.26] 转投资的损失还有我们
[574.52-575.28] 新厂
[575.54-576.82] 效益还没有
[577.34-578.86] 呈现的一些成本
[579.12-583.98] 还有一些火灾损失所以整个结算出来的亏损是3亿6800万
[585.52-586.04] 那
[587.82-591.42] 接下来是在整个业外收入的部分
[591.66-592.94] 这边我想
[593.20-594.48] 刚刚有提到一个
[594.74-595.26] 因为
[595.56-600.16] 这里有一个主要的损失我们有5900万的业外损失其实最主要的
[600.42-604.78] 来源是在228事件的一个火灾损失的一个影响数
[607.84-612.70] 那我想合并现金流量表的部分我想这部分我就请
[612.96-615.26] 各位先进自行看
[615.52-616.30] 参阅一下
[619.62-622.70] 那这个产品别的营收占比来讲
[622.94-625.00] 我们事实上并没有太
[625.30-628.12] 大的跟历年比较并没有太大的变化
[628.38-629.66] 那刚刚也
[629.90-630.68] 也略略提到
[630.94-634.26] 卫生棉是我们目前的主要销售的一个品项
[634.52-637.84] 他的占比最高大概是55%
