[0.00-4.64] 好的 現場各位貴賓 目前的時間是2點30分
[4.64-9.68] 那我們6288連家光電的法輪說明會正式開始
[9.68-14.40] 那提醒各位貴賓 請將您的手機先轉為震動或是靜音
[14.40-16.40] 以祕我們會議順利的進行
[16.40-18.00] 那法說會正式開始
[18.00-21.60] 今天國泰證券非常榮幸能夠邀請到連家的長官
[21.60-24.96] 在這麼棒的氛圍以及空間辦理法說會
[24.96-29.44] 那緊接著我們先為各位介紹今日蒞臨的與會貴賓
[29.44-34.56] 請用我們最熱情的掌聲歡迎連家光電黃國興董事長
[39.68-41.68] 黃紡玉總經理
[45.92-47.92] 吳俊德副總經理
[51.36-53.36] 林之祝財務長
[56.16-58.16] 楊昇化技術副總監
[59.44-61.44] 林子維副總經理
[61.44-65.44] 接下來我們把時間交給連家的記憶團隊
[82.48-84.48] 各位貴賓 午安
[84.48-86.48] 午安
[89.44-99.68] 今天非常榮幸也非常高興有這麼多好朋友在百聞之中參加我們連家光電2025年第一季的法說會
[99.68-103.52] 首先在這邊向各位致上最大的謝意
[103.52-106.72] 我是連家光電總經理黃紡玉
[106.72-117.60] 今天也很感謝我們的主辦單位國泰證券他們熱心的幫我們舉辦一個很精彩而且滿座的法說會
[119.44-125.84] 今天跟各位首先說明一下我們的免責聲明
[125.84-136.08] 在法說會裡面今天為各位分享的有五大主題
[136.08-138.64] 待會依依跟各位報告
[138.64-142.48] 首先各位分享的是營運的績效
[142.48-147.12] 我們在今年度一到二月份營收是9.47億元
[147.12-148.88] 跟去年同期比是有4.5億元的營運成本
[149.44-153.28] 這次的營運成本是93%的成長
[153.28-160.96] 我們的營收貢獻的區域主要來自於美洲佔了85%
[160.96-166.08] 接下去是歐洲 中國跟臺灣
[166.08-169.92] 如果以產品貢獻度來講
[169.92-173.76] 我們目前還是以汽車業是我們的主要營業項目
[173.76-177.60] 所以車燈佔我們的收入達到93%
[177.60-178.88] 其次是綠色的營運項目
[178.88-179.36] 其次是綠色的營運項目
[179.36-180.64] 綠能產品
[180.64-184.48] 接下去是其他的工業應用
[184.48-187.04] 過去幾年因為疫情的關係
[187.04-190.24] 其實我們公司的營收有受了很大的影響
[190.24-195.36] 在2019年之後我們連續兩年都有衰退
[195.36-199.20] 一直到2022年開始才慢慢回升我們的營收
[199.20-203.20] 去年度慢慢回復到我們正常的成長率
[203.20-206.56] 因為以往我們的成長率大概是25%到35%
[206.56-208.80] 所以去年我們的營收的成長是
[209.36-214.48] 28%
[214.48-215.76] 如果以水利表來看
[215.76-219.60] 可以看得到我們在很多的重要的財務指標上面
[219.60-221.52] 都有很大的成長率
[221.52-226.00] 不管是毛利率或者是稅前淨利
[226.00-229.84] 都是有一定的成長的比例
[229.84-234.96] 如果資產負債表給各位參考一下
[234.96-238.80] 就是我們的總資產總額跟負債總額還有權益表
[239.36-244.48] 目前我們的淨值是15.96%
[244.48-250.88] 接下去跟各位分享的是我們的主要產品跟我們營運的市場
[250.88-259.20] 我們的主要的營業項目是七十兆民
[259.20-262.40] 目前的市場規模大概有356億元
[262.40-264.96] 這是以2023年來統計
[264.96-267.52] 從2024到2032年呢
[267.52-268.80] 年復合成長率達到7%以上的成長率
[269.36-274.48] 主要呢車燈照明包括幾個項目
[274.48-279.60] 最大的一個營收的來源是前照車燈
