[0.00-7.58] Good afternoon, ladies and gentlemen. I'm Ivy Chan, RealTech IR Director. Thanks for joining this meeting.
[8.12-16.34] At the beginning, I will briefly update our fourth quarter 24 financial results and give some updates on our business.
[16.96-22.90] After that, we will have a Q&A session. Please do not hesitate to ask questions.
[23.32-28.62] Now, let us go through the fourth quarter 2024 financial results.
[28.62-41.56] The Q4 revenue was NT$26.35 billion, down 14.3%, compared to the previous quarter.
[42.18-46.90] This outcome, by and large, aligns with our expectations and the seasonality.
[47.68-57.04] The Q4 gross margin stood at 48.3%, marking a 3.1% point decrease quarter over quarter.
[57.04-58.60] The decline in gross margin was 0.3%, down 0.3%, and the decline in gross margin was 0.3%.
[58.60-63.82] The Q4 gross margin from the previous quarter is partly due to the product exchange,
[64.48-70.48] as a significant portion of the points consists of the entry segment products
[70.94-79.44] and partly attributed by the diminishing impact of the reversal of the slowly moving inventory write-off.
[80.20-85.36] The Q4 OPEX ratio was 37.4%.
[85.96-87.66] This indicates a 1.3% reduction.
[87.66-88.24] This indicates a 1.3% reduction.
[88.24-88.58] This indicates a 1.3% reduction.
[88.60-91.60] 比前一季的OPAC比率下降了
[91.60-97.60] 这种减少是在我们期望的短期改变
[97.60-100.60] 在行业的经济上的影响下来
[100.60-104.60] 我们仍然预期行业的增长
[104.60-110.60] 会帮助低于长期的METO比率
[110.60-118.60] Q4的行业收益是2.88亿
[118.60-122.60] 这额是10.9%的利润
[122.60-129.60] 前一季的12.7%的行业收益
[129.60-133.60] 大致带来的收益是低于平均的
[133.60-139.60] Q4的收益是762亿
[139.60-140.60] METO比率下降了2.8亿
[140.60-143.60] 但前一季的增长也有稍微上升
[143.60-146.60] 因为政府增加了资金
[146.60-150.60] Q4的全项收益为3.4亿
[150.60-153.60] 或是12.9%的利润
[153.60-155.60] 结果来说
[155.60-162.60] Q4的EPR是6.63%
[162.60-164.60] 关于缘故
[164.60-169.60] Q4的缘故转过的日期是94天
[169.60-174.60] 而前一季的增长是9天
[174.60-177.60] 这次增长是预期的
[177.60-179.60] 因为客户们向RailTech
[179.60-181.60] 表示他们的意志
[181.60-184.60] 在新年后的协议上提供的协议
[184.60-187.60] 这部分是由川普政府的政治恐惧
[187.60-189.60] 所提供的
[189.60-190.60] 不然的话
[190.60-192.60] RailTech的生产水平
[192.60-194.60] 在中间的线路上会保持健康
[194.60-197.60] 这结束了RailTech的第四季的24年负担
[197.60-204.60] 虽然在2025年的第一季有几天的工作
[204.60-206.60] 但这次的新年节日
[206.60-209.60] 仍然是很好的
[209.60-211.60] 因为新年期间
[211.60-214.60] 我们的预期是
[214.60-217.60] RailTech的11.7亿
[217.60-220.60] 是我们每月的预期
[220.60-223.60] 而RailTech的11.7亿
[223.60-225.60] 是我们每月的预期
[225.60-228.60] 是我们每月的预期
[228.60-229.60] 看前面
[229.60-231.60] 我们相信RailTech将继续增长
[231.60-233.60] 在2025年
[233.60-236.60] 由于客户们的固定需求
[236.60-239.60] 与预期升级和增长的市场
[239.60-241.60] 现在我们将谈谈
[241.60-243.60] RailTech的最主要预期
[243.60-245.60] 首先我们看到
[245.60-248.60] PC和非PC的预期
[248.60-250.60] 在Q424期间
[250.60-253.60] 是31296
[253.60-255.60] 然后在2025年
[255.60-255.96] 啊
[271.96-275.00] 团队也已经可以累入了
[276.00-277.10] 非常重的影响
[277.10-282.90] 就是 Corp
[284.54-285.58] 本稿
[285.60-294.40] 更多,我们预期在今年或明年的最后,
[294.40-295.40] Tenji 市场的流量会增加,
[295.40-301.60] 因此,许多的交通软件,Wi-Fi 路由器和Tenji Palm 变得更有潜力。
[301.60-305.88] 在交通软件方面,在2023年的稀疏期间,
[305.88-310.28] 交通市场在24年内均恢复得到恢复的状态,
[310.28-312.12] 包括第四季。
[312.12-314.72] 有些公司将将其交易放入,
[314.72-319.72] 以保持川普政府的可能性的费用影响。
[319.72-326.72] 这一趟趋势可能会持续到2025年第一季。
[326.72-330.72] 无论是否有关习近期的政治因素,
[330.72-334.72] 市场正在经历严格的改革,
[334.72-337.32] 尽可能地向多级软件转换。
[337.32-341.32] 例如,2.5G 线的无线软件转换
[341.32-348.92] 将成为了必须需要的Wi-Fi 7路由器的最佳选择。
[348.92-351.52] 至于交通软件转换方面,
[351.52-354.32] RealTech 仍然有足够的增长空间,
[354.32-357.92] 在近期和中期期间的交通软件市场,
[357.92-361.92] 以及在长期期间的数字中心市场中。
[361.92-364.12] 在Wi-Fi上,
[364.12-367.12] 虽然在4月中旬的季度下降的期间,
[367.12-370.12] RealTech Wi-Fi 结束了2024年,
[370.12-373.12] 但在目前的4月中旬的季度下降,
[373.12-376.12] 它仍然是最强大的增长区域。
[376.12-379.12] 在大型软件转换的部分中,
[379.12-381.12] RealTech Wi-Fi 经历了
[381.12-384.12] 在电脑、电脑业、电脑业业业的最大增长,
[384.12-387.12] 在4月中旬至全年之内。
[387.12-390.12] 在2025年前,
[390.12-394.12] 我们预期电脑、电脑业业业业业
[394.12-397.12] 将继续执行Wi-Fi增长。
[397.12-399.12] 在非常新的预期下,
[399.12-402.12] 在各个市场报道中,
[402.12-407.12] Wi-Fi 7的执行率达到了2024年的4%,
[407.12-412.12] 并预期增长至25%。
[412.12-414.12] 这些预期,
[414.12-417.12] 与我们的观察中的Wi-Fi 7执行
