[0.00-3.20] 中芯電工機械股份有限公司
[3.20-6.32] 法人署名會正式開始
[6.32-10.14] 首先我們請華南永昌證券股份有限公司
[10.14-12.14] 陳文瑜副總引言
[14.02-16.48] 歡迎各位投資先進的到來
[16.48-19.56] 也感謝中芯電工郭執行長
[19.56-21.40] 他們所辦的法術會
[21.40-24.28] 在我們華南永昌這邊舉辦
[24.28-27.38] 首先我們很感謝各位
[27.38-30.70] 波隆參加中芯電工法術會
[30.70-33.30] 我請代表華南永昌證券
[33.30-36.90] 向各位表達誠摯的感謝與歡迎
[36.90-39.54] 中芯電工過去這一年
[39.54-45.94] 在全球經濟最近川普總統發言的變動下
[45.94-49.14] 他們依然是穩健的前行
[49.14-51.90] 而且深耕電力的設備
[51.90-55.38] 智慧能源以及綠能技術等核心業務
[55.38-56.98] 同時也積極的
[56.98-61.50] 布局新能源市場來提升競爭的優勢
[61.50-64.98] 透過技術的創新跟優化供應鏈的管理
[64.98-67.34] 不僅保持市場領先的地位
[67.34-71.22] 而且也為股東創造穩健的營運績效
[71.22-73.54] 在財務與營運表現
[73.54-75.94] 中芯電工受惠於國內外
[75.94-77.90] 電力設備需求提升
[77.90-80.42] 以及再生能源布局的加速
[80.42-83.22] 以及智慧電網等專案的推動
[83.22-86.10] 公司業務部的擴展
[86.10-86.94] 在去年
[86.98-91.34] 他們的合併營收也達到了超過 256 億元
[91.34-94.94] 在 EPS 也達到 7.35 元
[94.94-99.42] 可見公司的長年穩定的經營
[99.42-102.86] 以及策略已經發揮了功效
[102.86-104.38] 今年的展望
[104.38-108.02] 待會郭執行長也會跟大家說明
[108.02-109.06] 最後
[109.06-112.38] 我們相信中芯電工堅實的基礎
[112.38-114.50] 以及專業的管理團隊
[114.50-116.82] 還有市場趨勢的有利條件
[116.98-120.06] 中芯電工將會持續創造價值
[120.06-123.50] 來回饋投資者以及社會各界的支持
[123.50-126.46] 也會秉持著穩健經營的理念
[126.46-128.94] 來迎接市場的變化與挑戰
[128.94-131.98] 最後再感謝各位的力量與支持
[131.98-137.06] 請各位待會可以詳細的來聽郭執行長
[137.06-140.78] 對今年以及未來的營運發展做個說明
[140.78-141.90] 以上感謝大家
[141.90-142.90] 謝謝
[146.98-149.02] 謝謝大家的支持
[149.02-152.62] 接下來由中芯電工機械部分有限公司
[152.62-155.94] 郭慧娟執行長為大家進行公司簡報
[155.94-159.26] 各位朋友大家午安
[159.26-160.54] 午安
[160.54-163.10] 我不多說
[163.10-165.66] 盡量時間留給各位等我發問
[165.66-167.46] 我直接進入簡報
[167.46-175.90] 這是中芯電工基本上每一次簡報都會看到的一頁
[176.98-179.54] 唯一不同的地方各位可以看到
[179.54-185.18] 我們的營收事實上比去年是成長了15%以上
[185.18-189.26] 所以這是中芯公司最大的一個喜悅
[189.26-195.66] 當然大家會認為說這樣的一個成長來源是什麼
[195.66-199.50] 等會會跟各位說明事實上中芯電工不只是重電
[199.50-203.34] 我們在各個行業領域都有很大幅度的成長
[203.34-206.94] 首先我們來看一下公司在公司治理上面
[206.94-209.50] 在電子機上的一個成就
[209.50-212.32] 去年大概有提到
[212.32-216.42] 我們在ISO 37001跟TIPS這兩件事情上
[216.42-218.20] 我們要申請認證
[218.20-222.30] 在去年很努力的同仁
[222.30-227.16] 努力的撰寫報告
[227.16-228.96] 研發新的制度
[228.96-231.52] 然後建立新的一個流程
[231.52-235.10] 我們終於在年底拿到這兩個認證
[235.10-236.90] 37001是反賄賂
[236.94-237.96] 管理辦法
[237.96-240.26] TIPS是智慧財產權
[240.26-241.80] 這兩個認證的拿到
[241.80-246.42] 事實上除了對中芯公司的一個ESG的認可認同之外
[246.42-251.28] 另外就是在我們外商業務的取得事實上幫助很大
[251.28-254.60] 當然各位會問到說有關風力發電這個案子
[254.60-258.70] 我想這件事情上對於我們取得風力的案件
[258.70-262.28] 是有很大的幫助
[262.28-266.64] 另外在ESG的平等上我們也可以看到
[266.64-269.20] 我們已經成為A級廠商
[269.20-274.06] 所以在過去曾經有的一些陰影跟陰霾
[274.06-275.60] 我想應該都可以忘記了
[275.60-279.44] 那就是一個單一事件在10年前的單一事件
[279.44-282.76] 在現在的中芯是一個優質良好的廠商
[282.76-288.66] 我們已經是一個A級的一個公司
[288.66-295.56] 中芯公司為什麼我剛剛會提到說在風力發電上的一個希望跟未來的期許
[295.56-296.60] 因為我們
[296.64-300.22] 在公共工程品質金值獎上面
[300.22-302.28] 我們已經在第24屆
[302.28-305.08] 連續5年獲得金值獎
[305.08-307.90] 這是我們在工程的執行能力上
[307.90-311.24] 一個非常大的一個被認可
[311.24-317.64] 我們除了在水力發電風力發電太陽能發電之外在離島的發電
[317.64-322.24] 我們也有很大的成就跟成功
[322.24-323.78] 包括
[323.78-324.80] 蘭嶼
[324.80-325.82] 綠島
[325.82-326.60] 這兩個案子
[326.64-328.68] 大概今年都可以完成
[328.68-331.76] 完成之後後面整個台電市場市場
[331.76-333.80] 還有36部機組
[333.80-335.08] 等待建置
[335.08-339.18] 那這些都是中芯電工未來要取案的一個方向
[339.18-341.74] 那另外在水力發電
[341.74-346.10] 等會我們大概會提到強韌電網計畫大家耳熟能詳
[346.10-347.38] 但是請各位記得
