[0.00-9.08] 各位投資先進
[9.08-10.74] 各位媒體朋友
[10.74-12.18] 大家下午好
[12.18-15.34] 第一場由智盛來開場
[15.34-17.60] 針對整個智盛還有居土系
[17.60-21.22] 在產業上看到的一個想法和看法
[21.22-22.62] 跟各位做分享
[22.62-24.86] 我們先開始
[24.86-29.96] 一樣居土系
[29.96-32.16] 我們在每一個法事會
[32.16-35.30] 都會跟各位分享居土系的一個理念
[35.30-37.54] 我們理念是合力共創 同齡資源
[37.54-38.18] 因為藉由
[38.18-41.68] 尤其現在整個總體經濟變化那麼快
[41.68-45.44] 如果不是用團體作戰或團體協作方式
[45.44-47.58] 事實上很難面對這麼快的變化
[47.58-52.18] 所以這個也是從2020年居土系成立以來
[52.18-53.76] 到現在5年了
[53.76-54.86] 整體的一個發展
[54.86-57.46] 我們一直秉持著精神跟理念
[57.46-61.70] 整個理念也是接待換取的角色
[61.70-63.76] 這部分就開始有進來
[63.76-67.20] 智盛工業本身的一個法說
[67.20-69.18] 剛才在談智盛之前
[69.18-70.74] 我剛才分享居土系
[70.74-72.98] 居土系比較新的一個狀態
[72.98-74.94] 聯盟總數事實上在今年
[74.94-76.42] 事實上從去年開始
[76.42-81.82] 人力上 工程人力上的人數逐步增加
[81.82-84.46] 這也衍生到一個主要的原因是因為
[84.46-84.86] 我們整體的工程人力上的人數逐步增加 這一延伸到一個主要的原因是因為
[84.86-85.36] 整體的工程人力上的人數逐步增加 這一延伸到一個主要的原因是因為
[85.36-87.36] 在產業的轉變
[87.36-91.56] 從原本自己經營各個公司的產業之外
[91.56-92.80] 我們進來半導體
[92.80-95.70] 半導體領域對於工程人力的要求越來越高
[95.70-102.24] 素質跟人力都是一個很重要必須去面對的狀態
[102.24-106.12] 現在整個聯盟的R&D人數大概560位以上
[106.12-110.56] 這是我們現在最寶貴最精華的一個狀態
[110.56-113.42] 智盛是現在已經邁進第60年
[113.42-114.46] 均好均壩是超過60%的人數上升的狀態
[114.46-117.46] 是超過45年到47年共識
[117.46-120.86] 所以我們這三家公司整體的年資
[120.86-125.54] 在設備上的業界中心年資其實是超過150年
[125.54-127.78] 也會讓大家更了解說
[127.78-130.44] 我們跟客戶的信任關係多麼的堅實
[130.44-132.68] 跟具有很長的默契
[132.68-137.52] 智盛本身的核心技術是壓貼思考的技術
[137.52-140.62] 壓就是我們現在問書的技術都是
[140.62-142.96] 專注在自己核心領域發展
[142.96-142.98] 均好本身的核心技術是壓貼思考的技術
[142.98-144.06] 均好本身的核心技術是壓貼思考的技術
[144.06-146.20] 本身的技術是減量模拋
[146.20-149.56] 減測、量測、研磨、polish的一個技術
[149.56-152.40] 均壩的夥伴公司也就是diet-catching
[152.40-153.50] pick and place
[153.50-156.00] diet-bounder、solder等等技術
[156.00-158.60] 我們三家公司擁有自己不同的經濟出來
[158.60-162.34] 協助客戶加快它的開發時程
[162.34-166.08] 我們從2020年到現在其實也很明確看到
[166.08-170.12] 我們這方面的整合會加快客戶整合的速度
[170.12-174.06] 尤其在現在我們看到一個很大的方向是AOI檢測
[174.06-180.20] 從檢測跟量測這個技術應用在整合到我們各家公司不同的核心技術
[180.20-185.00] 可以創造客戶很多的一個不同的面向
[185.00-191.04] 比如說現在有很多人HPC的晶片技術
[191.04-194.32] 他需要的是要知道哪個帶的狀態
[194.32-196.78] 那他在生產過程當中
[196.78-202.08] 我如果同時可以知道我在生產過程當中的晶片的穩定性
[202.08-203.92] 或是它的一個立背狀態
[204.06-206.36] 那我可以創造客戶更高的價值
[206.36-211.10] 現在是整個G2C聯盟漸漸地把這一方面的技術做了整合
[211.10-215.00] 協助客戶往下一個世代的一個更高階的晶片發展
[217.00-220.58] 這次跟各位分享整個G2C在先進封裝
[220.58-223.48] 我們左邊就是左上方是先進封裝
[223.48-227.98] 整個先進封裝各位也可以知道我們本身像智慎跟軍華
[227.98-229.66] 都是Covas的一個Supply Chain
[229.66-234.06] 除此之外我們還有在IC Subtrade跟HVM還有SYC
[234.06-239.06] 我們本身也都有設備在整個智慎端的應用
[239.06-241.06] 而不純纜是在Covas
[241.06-245.00] 在今年有比較跟各位在分享的是
[245.00-249.04] 我們也看到在另外一個領域在晶圓製造裡面的再生晶圓
[249.04-251.92] Recurrent的一個產業裡面
