[0.00-4.18] 各位线上的先进
[4.18-5.26] 大家午安
[5.26-8.86] 欢迎参加由金锐通讯股份有限公司
[8.86-12.58] 举办的114年第一季线上法人说明会
[12.58-16.50] 首先让我们介绍今天出席的经营团队
[16.50-18.78] 总经理廖真琪
[18.78-22.58] 发言人暨全球行销处处长谢邦彦
[22.58-24.54] 财务长李美玉
[24.54-28.00] 代工事业群执行副总经理陈信成
[28.00-31.32] 品牌事业群副总经理郑胜夫
[31.32-35.28] 代理发言人暨设计验证处协理车俊英
[35.28-39.78] 现在我们请金锐通讯总经理发表引言
[39.78-43.40] 线上的媒体与发言朋友们
[43.40-44.56] 大家午安
[44.56-47.54] 我是金锐通讯总经理廖真琪
[47.54-51.40] 欢迎各位先进参加金锐通讯法说会
[51.40-53.02] 今天的会议
[53.02-55.32] 本公司将分享营运成果
[55.32-57.98] 发展策略与产业趋势
[57.98-60.56] 首先由我来说明营运概况
[60.56-64.82] 金锐通讯2025年第一季合并营收
[64.82-67.14] 达新台币19.7亿元
[67.14-68.80] 年增25%
[68.80-72.68] 除了去年客户库存影响出货机器较低
[72.68-75.94] HAI及云服务等新产品销售
[75.94-77.74] 在今年确实升温
[77.74-81.14] 无论是品牌或代工事业
[81.14-84.96] 皆展现AI与云端的研发实力
[84.96-87.56] 与市场需求结合的竞争力
[87.98-91.48] 凭借25年来丰富的安防经验
[91.48-94.38] 金锐通讯整合AI摄影机
[94.38-96.52] 软体与云端服务
[96.52-98.42] 提供AI解决方案
[98.42-101.44] 为了更贴近市场需求
[101.44-102.74] 今年第一季
[102.74-106.42] 我们在美国矽谷成立全球设计中心
[106.42-109.48] 与台湾总部研发资源相互协作
[109.48-113.58] 未来更能专注AI与云端研发
[113.58-117.14] 降低客户运营与维护成本
[117.14-117.96] 提升
[117.98-121.48] 使用者对新技术的体验
[121.48-125.28] 今年是金锐通讯成立25周年
[125.28-129.88] 我们将透过精彩的线上与线下宣传活动
[129.88-132.48] 持续扩大品牌影响力
[132.48-135.68] 3月参加日本国际安防展
[135.68-140.48] 4月参与全球规模最大的美西国际安全科技展
[140.48-147.18] 以及5月参展台北国际安全科技应用展
[147.18-147.86] 都取得亿多的支持
[147.98-148.98] 在美国的全球领域中
[148.98-149.98] 我们将在全球领域中
[149.98-150.98] 提供了相当大的回响
[150.98-152.98] 同时我们积极推动AI应用
[152.98-156.98] 导入智慧城市 智慧交通 智慧工厂等领域
[156.98-161.98] 并延伸至教育 零售等垂直市场
[161.98-164.98] 稍后由发言人介绍几项成功案例
[164.98-169.98] 来说明AI技术在多元应用落地的实际成果
[169.98-172.98] 今年全球经济充满挑战
[172.98-176.98] 尤其美国对等关税政策的不确定性
[176.98-177.98] 影响美国的经济丰富度和质量增长的成果
[177.98-181.98] 也影响了市场供应链对市场需求的预估
[181.98-185.98] 超越过去后疫情时代物料的冲击
[185.98-189.98] 即使目前处于90天关税暂缓期
[189.98-195.98] 智慧通讯将密切关注国际政策与税制变化
[195.98-197.98] 配合政府政策
[197.98-199.98] 善用集团资源
[199.98-202.98] 适时动态调整全球营运策略
[202.98-206.98] 并启动计划提高营运韧性
[206.98-209.98] 不变的是企业的核心竞争力
[209.98-213.98] 我们将持续在解决方案与企业运营上
[213.98-216.98] 拥抱AI与云端架构
[216.98-219.98] 发挥研发能量和营运韧性
[219.98-224.98] 来提供最值得信赖的智慧安防的解决方案
[224.98-227.98] 以上是营运概况的更新
[227.98-232.98] 接下来关于第一季财报以及未来几个发展的重点
[232.98-235.98] 我们请发言人谢芳燕先生来进行说明
[236.98-238.98] 各位先进大家午安
[238.98-240.98] 我是发言人谢芳燕
[240.98-242.98] 首先我先来宣读免责声明
[242.98-244.98] 本简报资讯所提供的资讯
[244.98-246.98] 包含前瞻性看法以及展望
[246.98-248.98] 反映金融通信股份有限公司
[248.98-251.98] 本公司截至目前为止对于未来的看法
[251.98-254.98] 这些前瞻性看法及展望可能因各种
[254.98-256.98] 本公司所不能控制的风险
[256.98-258.98] 不确定与假设等不同状况
[258.98-260.98] 而超出本公司的判断
[260.98-263.98] 实际结果可能有重大出入或不依预期发生
[263.98-266.98] 读者不应完全依赖此简报展示
[266.98-270.98] 资讯对于这些看法未来若有任何变更或调整
[270.98-273.98] 本公司不负责随时提醒更新或更正
[273.98-275.98] 金融通信股份有限公司
[275.98-277.98] 尽可能确保本简报资料之正确性
[277.98-280.98] 且无遗漏及过时
[280.98-284.98] 然而本公司既无就有关资料之可靠性准确性
[284.98-288.98] 或完备性做出任何明示或暗示之声明或保证
[288.98-294.98] 且对本简报资讯任何内容或依赖该等内容所采取行动
[294.98-296.98] 而直接或间接引致的
[296.98-299.98] 任何损失本公司该不负责
[299.98-304.98] 未经本公司事前书面许可任何人不可复制修改
[304.98-308.98] 重新编译筛检或传送简报任何内容
[308.98-311.98] 或将任何该等内容用于商业用途
[311.98-313.98] 以上谢谢
[313.98-316.98] 接下来我们首先来看财务资讯的部分
[316.98-320.98] 我们第一个部分先看的是合并营收及毛利
[320.98-322.98] 营收的部分年兑年是25%
[322.98-324.98] 季兑季的话是-9%
[324.98-325.98] 在于毛利的部分
[325.98-326.98] 年兑年是-9%
[326.98-327.98] 季兑年是30%
[327.98-329.98] 季兑季是-10%
[329.98-332.98] 下一个是营业经历及费用
[332.98-336.98] 营业经历年兑年的部分是427%
[336.98-339.98] 季兑季的话是-68%
[339.98-341.98] 下一个
[341.98-343.98] 业外损益的部分
[343.98-346.98] 2025年Q1业外损益是11.2
[346.98-350.98] 单位是新台币百万元
[350.98-355.98] 税前经历及息税折旧及摊销前利润
[355.98-357.98] 年兑年是150%
[357.98-359.98] 季兑季的话是-55%
[359.98-360.98] 下一个
[360.98-361.98] 税后经历的部分
[361.98-364.98] 2025年Q1税后经历是56.2
[364.98-366.98] 单位是新台币百万元
[366.98-367.98] 下一个
[367.98-368.98] EPS的部分
[368.98-372.98] 2025年Q1累计EPS是0.65元新台币
[372.98-373.98] 下一个
[373.98-374.98] 在于毛利的部分
[374.98-376.98] 年兑年是-5%
[376.98-378.98] 季兑年是-5%
[378.98-379.98] 年兑年是-5%
[379.98-380.98] 下一个
[380.98-381.98] 年兑年是-5%
[381.98-382.98] 年兑年是-5%
[382.98-383.98] 年兑年是-5%
[383.98-384.98] 下一个
[384.98-389.98] confronted
[390.98-392.98] 年兑年是真的
[392.98-394.98] 而且到了1%
[394.98-396.98] 也在ologies里很短
[396.98-400.98] 开始 guardians 是不德言
[400.98-401.98] competitors
[401.98-402.98] attenti
[402.98-403.98] 독 disso
[403.98-404.98] видите
[404.98-407.98] 这是第二造 connectors
[407.98-408.98] 然后
