以下是重排的段落式逐字稿：。[1821.58-1823.18] 是比较合理的成长。[1823.18-1825.40] 未来年成长率。[1825.40-1826.88] 我估计。[1826.88-1828.58] 可能。[1828.58-1830.66] 大概是10到20之间。

[1830.66-1832.38] 我们估计可能在10到20之间。[1832.38-1833.44] 年复合成长率。[1833.44-1836.40] 那就台湾跟美国。[1836.40-1838.70] 那当然就是如果被我们抓到一个大市场。[1838.70-1839.66] 就有可能上去。[1839.66-1840.86] 但我们目前来看。

[1840.86-1842.36] 就按照目前的节奏。[1842.36-1844.06] 每年一个双位数的成长。[1844.06-1845.02] 那也是我们的目标。[1845.02-1846.96] 当我们打进一个比较大的市场。[1846.96-1848.18] 就是打到一个大客户。[1848.18-1850.82] 就有机会重演我们像这时候这样。

[1850.82-1853.54] 这时候因为是突然中国市场。[1853.54-1854.96] 整个市场爆发。[1854.96-1856.58] 所以那时候就会上去。[1856.58-1858.04] 所以只要抓到大客户。[1858.04-1859.64] 在大市场里面有抓到大客户。[1859.64-1861.28] 那成长速度就很快。

[1861.28-1864.32] 但目前我们先用比较稳健去做估算。[1864.32-1866.00] 我现在想问的就是。[1866.00-1867.38] 台湾跟美国。[1867.38-1868.40] 是你现在开始。[1868.40-1869.52] 增加费用。[1869.52-1871.48] 然后去拓展了市场。

[1871.48-1873.62] 那现在大概要以。[1873.62-1875.08] 我们是如何投资的。[1875.08-1876.42] 要以怎么样的成本。[1876.42-1879.16] 去核让你将来的成长的可能性。[1879.16-1880.48] 能不能做一个说明。[1880.48-1880.88] 谢谢。

[1880.88-1886.36] 你指的成本是说管销严政府。[1886.36-1890.86] 我想因为。[1890.86-1893.56] 这块其实我们有。[1893.56-1894.32] 台湾其实这边。[1894.32-1897.00] 目前的operation状况还不错。[1897.00-1898.22] 所以这块。

[1898.40-1900.62] 应该很快就可以停止亏损。[1900.62-1902.02] 就是说个体本身。[1902.02-1903.62] 就很快可以停止亏损。[1903.62-1907.10] 那美国这边可能需要一到两年的时间。[1907.10-1910.16] 但是我们会去控制这个expense。[1910.16-1912.24] 所以如果你用loss来看。

[1912.24-1914.92] 一年一个月可能就。[1914.92-1916.64] 我觉得也不会很多。[1916.64-1919.36] 就百万等级也是可能两三百万之类的。[1919.36-1920.44] 不会很多。[1920.44-1921.92] 所以如果以转投资加起来。[1921.92-1924.96] 我觉得估计大概用这样去预估就可以。

[1924.96-1926.92] 那我们当然希望比较快的。[1926.92-1927.52] 就是因为。[1927.52-1929.98] 各事业体我们希望各自盈亏。[1929.98-1932.24] 所以我们希望很快的能找到一个。[1932.24-1934.02] 那个损益的平衡点。[1934.02-1937.86] 资金收的贡献。

[1937.86-1939.72] 会不会大颗平年化。[1939.72-1942.72] 在台湾跟美国好了。[1942.72-1944.22] 我们还100万美金。[1944.22-1947.42] 那像的话我们估计的营收的成长。[1947.42-1948.72] 可以达到多少水准。[1948.72-1951.18] 目前还看不准。

[1951.18-1953.08] 尤其在美国美国这一块。[1953.08-1954.42] 因为才刚开始拓展。[1954.42-1956.52] 那美国我们是慢慢的去展。[1956.52-1957.52] 时光中心的展望。[1957.52-1959.44] 所以还在学习这个市场。[1959.44-1961.00] 所以目前还看不准。

[1961.00-1963.36] 目前我们第一步应该是赶快先走到。[1963.36-1965.08] 就是先走到平衡点。[1965.08-1968.64] 那我估计大概也是一到两年之间的一个时间点。[1968.64-1970.76] 先先走到单月的平衡点。[1975.52-1978.24] 对美国市场都必须透过处方签。[1978.24-1980.50] 所以他是一个比较难拓展市场。

[1980.50-1981.48] 但他有他的困难。[1981.48-1982.36] 也有他好处。[1982.36-1983.20] 因为他很难。[1983.20-1984.56] 但一旦做到的时候。[1984.56-1986.42] 他毛利相对是好。[1986.42-1987.36] 所以他的成长速度。

[1987.36-1988.88] 会稍微是比较慢。[1988.88-1990.12] 那当然除了这样拓展。[1990.12-1992.16] 主要是我们用希望用这个模式。[1992.16-1994.44] 把我们的产品带到这个市场上。[1994.44-1995.68] 让市场认知我们。[1995.68-1997.44] 因为像目前其实。

