[0.00-6.32] 歡迎大家參加紅準精密工業股份有限公司的法人說明會
[6.32-11.22] 那首先為各位介紹我們今天代表出席的經營團隊
[11.22-14.06] 我們歡迎代理發言人林玉凱
[14.06-20.34] 還有我們的金管長李彥清處長
[20.34-28.66] 以及我們坐在這個最後一排的法務長陳良彥律師
[30.00-31.36] 謝謝
[31.36-37.86] 那我們今天的法書會流程會先針對公司的經營成果做一個簡報之後
[37.86-40.32] 再進行Q&A的一個交流
[40.32-43.32] 那我們現在把時間交給公司 謝謝
[45.76-52.04] 感謝各位投資前進今天歷歷紅準精密上半年的一個法人說明會
[52.04-54.08] 那陳如剛主持人說的
[54.08-57.60] 那接下來我會就公司整體的經營現況
[57.60-59.98] 還有一些展望跟大家做報告
[59.98-65.48] 那包含了目前我們一些比較明顯可以對外揭露的發展資訊
[65.48-66.94] 還有發展路徑
[66.94-70.02] 那加上技術的一些進步
[70.02-71.66] 還有一些開發的過程
[71.66-74.06] 有些成果都會在這邊跟大家做報告
[74.06-80.16] 那當然財務資訊的方面可能先前在董事會通過之後已經正式做揭露
[80.16-83.36] 不過有些數據我們會再跟大家做一些說明
[83.36-87.50] 那最後則是Q&A的一個部分也會跟大家做討論
[87.50-88.98] 那如果任何問題的話呢
[88.98-89.68] 就請
[89.68-91.68] 在我們正式簡報過後呢
[91.68-94.68] Q&A的方面我們再來做正式的討論
[94.68-97.68] 那首先還是跟大家做一個免責聲明
[97.68-100.68] 就是本簡報的發布之際呢
[100.68-102.68] 可能有些相關訊息是含有預測性資訊
[102.68-105.68] 那這些營運成果財務狀況還有展望的話呢
[105.68-108.68] 可能會跟實際上有一些落差
[108.68-111.68] 那主要原因就是因為一些不可掌控的風險
[111.68-115.68] 那包含揭露財務資訊是有可能為金虧醫師查閱或審核
[115.68-117.68] 那這些都僅供參考資訊
[117.68-118.68] 那詳細內容的話還請各位投資朋友們去看看
[119.68-122.68] 或者先進參考整個財務報告成果
[122.68-124.68] 那當中如果有些展望的話
[124.68-126.68] 是反映我們目前的一個最新看法
[126.68-128.68] 那這些看法當然未來有可能做改變
[128.68-130.68] 那有任何變更或調整的時候呢
[130.68-133.68] 紅準這邊並不負責做隨時的提醒或更新
[133.68-134.68] 請大家注意
[134.68-135.68] 好
[135.68-140.68] 今天的議程的話會先就整個公司的現況和發展做概略說明
[140.68-142.68] 接下來是財務表現
[142.68-145.68] 那當然我們希望在一些永續策略方面跟大家做分享
[145.68-147.68] 最後則是問答時間
[147.68-148.68] 好
[148.68-154.68] 那我們就正式就整個公司的現況和發展先跟大家做概略的說明
[154.68-160.68] 那首先紅準金幣目前的話還是以前跟大家說明過的一個核心的策略
[160.68-162.68] 做一個實踐
[162.68-166.68] 那還是以整個薄清冷強四大策略做技術的佈局
[166.68-169.68] 那跟客戶的一些項目連結落地
[169.68-173.68] 那我們這邊呢除了一些比較大家先前看過資訊的話
[173.68-174.68] 這邊特別提醒一下
[174.68-178.68] 我們當前階段主要就是以整個投資
[178.68-179.68] 自行設備的著手
[179.68-182.68] 那這邊包含了AOI和檢測設備投資
[182.68-185.68] 並且增加一些自動化和數位化的一些投資
[185.68-189.68] 那當然人力資本方面的話紅準也是持續做優化
[189.68-191.68] 那這裡包含核心技術能力
[191.68-194.68] 還有生產效率的提升都是我們所要的目標
[194.68-199.68] 那這一季的話我們新加一個自動化和智能服務的一個構面
[199.68-204.68] 那主要就是大量的導入自動化設備和高效營運的一些計畫
[204.68-207.68] 那當然我們會提供一些機器人的整合方案
[207.68-208.68] 還有一些智能服務的方案
[208.68-210.68] 後續會跟大家做說明
[210.68-214.68] 那生產製造規劃的話目前雖然是有中國產區
[214.68-218.68] 那也是持續的配合一些海外產區的拓展和一個供應鏈移轉
[218.68-222.68] 那這邊主要就是依照客戶的一個需求去做一個佈局
[222.68-227.68] 那整體而言的話我們的核心產品就是以柏青冷強四大車的為主
[227.68-232.68] 那柏的話包含我們整個金屬機殼紅準的一個成熟的產業這邊
[232.68-234.68] 一些技術的話持續做加強
[234.68-236.68] 那青的話是配合客戶的需求
[236.68-239.68] 做一些異種金屬的輕量化零組件
[239.68-241.68] 做關鍵零組件的一個輕量化動作
[241.68-245.68] 那冷的話包含大家可能比較有興趣的一些高導熱材料
[245.68-246.68] 我們持續做開發
[246.68-253.68] 那最後強的話是在各個產品的強度上面做一些高強度的鋁鎂成型和檢測
[253.68-256.68] 那這個應用的話可能就包含機器人汽車和儲存產品
[256.68-260.68] 都是這個夠面比較接近的一個產品
[260.68-264.68] 好那首先還是以核心產品做出發
[264.68-266.68] 那在遊戲機和桌邊上
[266.68-272.68] 我們這邊主要就是應用一些三明治基板技術和金屬的IM技術
[272.68-275.68] 那增加整體的產品零組件和密度
[275.68-279.68] 那協助客戶實現這個遊戲主機產品的輕薄化目標
[279.68-285.68] 那當然我們在一些客戶所需要的配件方面的話也是有非常多的合作機會
[285.68-291.68] 那在遊戲手把的話是採取整個一體化成型和3D磁力感測技術為主
[291.68-295.68] 幫助客戶這邊可以強化使用者體驗並且延長整個產品壽命
[295.68-298.68] 那他們可以據此開發多元的遊戲配件
[298.68-301.68] 首先看到最左手邊的話是三明治基板
[301.68-306.68] 那主要就是藉由三片獨立PCB做一個相牽合的技術
[306.68-309.68] 那增加整體的零件數和密度
[309.68-311.68] 達到整個產品輕薄化的目標
[311.68-316.68] 那金屬IM的話可以看到我們主要是將金屬件鑲入模具之後呢
[316.68-319.68] 再進行第二次的金屬注入
[319.68-323.68] 那可以達到優化然後提供必要的區域強度強化
[323.68-328.68] 那當然形狀自由度的話也是有更多的一個發展狀況
[328.68-330.68] 並且可以減輕整個產品重量
[330.68-333.68] 那右邊可以看到一體化成型的話
[333.68-336.68] 這主要就是在整個遊戲的周邊產品方面的話
[336.68-339.68] 是透過這個模具成型的技術
[339.68-344.68] 讓遊戲的手把可以有一體化的一個輕量化構成
[344.68-346.68] 那當然它在整個使用者方面的話呢
[346.68-349.68] 可以體驗到更好的一個握持的質感
[349.68-351.68] 那最後就是力量感測技術
[351.68-352.68] 大家都曉得其實我們的客戶呢
[353.68-356.68] 客戶的遊戲這邊是特別強調一個互動性
[356.68-359.68] 那包含力量感測或者是毫米波
[359.68-362.68] 或者是一些監測的一些互動的設備
[362.68-366.68] 那這邊的話我們都是持續跟客戶這邊做大規模開發
[366.68-368.68] 那我相信接下來就是推出的產品當中
[368.68-372.68] 也會有非常多是有紅準這邊去做一個共同設計
[372.68-375.68] 和開發甚至製造的一個過程
[375.68-377.68] 那第二點是散熱模組
[377.68-381.68] 那散熱模組這邊的話我們是持續用整個高導熱壓注材料
[381.68-382.68] 去優化材料特性
[382.68-383.68] 那還有一個就是
[383.68-385.68] 那提升整個散熱能力
[385.68-388.68] 那從此我們是採用的這個銅粉末冶金的方式
[388.68-390.68] 來拓展製程應用領域
[390.68-394.68] 那相變化的一個關鍵零件持續是我們身上的目標
[394.68-398.68] 那目前的話無論是在薄型熱管還有均熱片等等的話
[398.68-400.68] 我們都是持續的擴大整個應用瓦數
