[0.00-17.32] 歡迎大家今天來參加今年2025年Q1的法說
[17.32-20.20] 我們還會是按照往常慣例
[20.20-21.40] 讓Ronnie這邊
[21.40-24.08] 跟大家把數字走過一遍以後
[24.08-26.08] 我們再開放這個Q&A
[26.08-28.40] 先由現場Q&A
[28.40-29.92] 然後再線上
[30.56-31.56] Ronnie
[32.76-33.76] 大家好
[35.48-36.88] 今天人少一點
[36.88-40.72] 聽說是因為很多家同時在開法說會的關係
[40.72-43.64] 那我們照慣例還是先把這個數字
[43.64-44.72] 跟大家報告一下
[44.72-46.52] 雖然昨天數字已經出來
[46.52-49.24] 所以可能大家都已經清楚
[49.24-51.52] 不過就簡單的解釋一下
[51.52-53.56] 那我們這是第一季的財報
[53.56-55.72] 所以只有一季沒有累積的
[56.40-61.12] 第一季的營收是比正常的季節性好一點
[61.12-64.32] 我們比第四季要增加了4%
[64.32-69.24] 正常來講第一季大概都是會有一個季對季的下滑
[69.24-71.24] 通常大概在5到10%
[71.24-77.24] 但是第一季因為有一些資料中心的需求還是很好
[77.24-80.92] 包含電源和散熱那部分都多出來
[80.92-84.12] 所以那個營收比第四季要來得好
[84.24-88.36] 單季的營收也是歷史新高是1189億
[88.36-91.32] 年對年的話則有30%的增長
[91.32-94.20] 相對來講去年第一季其實稽期不高
[94.20-95.88] 如果沒有各位記得的話
[95.88-99.28] 我們去年第一季其實有2%的年對年衰退
[99.28-101.12] 所以稽期不高
[103.04-106.08] 毛利的部分在第一季是378億
[106.08-108.20] 毛利率是31.8%
[108.20-111.72] 這個比第四季的時候是多了一個百分點
[111.72-114.28] 毛利的金額比第四季多了8%
[114.28-117.72] 相較於去年同期則是多了40%
[117.72-121.72] 主要也是去年同期相對比較稽期低一些
[124.04-126.68] 費用的部分還是增加的比較明顯
[126.68-128.68] 但是因為營收增長的很快
[128.68-131.08] 所以這個費用率是下滑的
[131.08-135.12] 從第四季的21.4%跟去年同期21.4%
[135.12-137.00] 降到20%
[137.00-141.36] 費用的增幅則是有21%
[141.36-143.68] 這個相信隨著後面
[146.48-149.52] 因為這個稽期通常在第一季的增幅是比較明顯
[149.52-151.44] 後面應該會稍微下來一點
[151.44-153.80] 但是因為毛利有增加
[153.80-158.96] 所以營業淨利的增幅還是比毛利的增加來得多
[158.96-161.80] 所以營業淨利比第四季增加31%
[161.80-165.32] 比去年同期則是增加了90%
[165.32-168.12] 也是因為低稽期的關係
[169.12-175.12] 各部門的獲利跟營收的分佈就提供各位參考一下
[175.12-180.88] 可以看得出來主要我們這個獲利還是從POWElectronics來比較多
[180.88-184.12] 但是今年這個infrastructure增加了非常多
[184.12-186.60] 去年同期事實上還是一個小幅的虧損
[186.60-192.40] 所以我們這邊呈現了一個non-meaningful這樣子的解釋
[192.40-194.40] 因為它是虧轉營
[194.44-198.44] 而且這個獲利還蠻不錯的
[198.44-200.44] Automation的變化比較少
[200.44-203.80] Mobility的話繼第四季之後有一個小幅的虧損
[203.80-208.24] 但是這個虧損的幅度是比第四季要好一點點
[208.24-211.36] 就是EV component這個聲音呢
[211.36-214.36] 在第一季的時候營收還有1%的增長
[214.36-216.36] 年對年跟季對季都是
[216.36-219.00] 所以相對來講還算是穩定了
[219.00-222.32] 雖然我們現在對這個市況是比較保守一點
[224.96-228.56] 業外的部分在第一季有16億左右的收益
[228.56-232.08] 這個其實算是一個蠻正常的狀況
[232.08-234.08] 但這裡面有一些變數
[234.08-237.28] 就是像匯兌在第一季有5億的收益
[237.28-241.44] 但是現在美元的狀況是比較弱一點
[241.44-243.92] 這個對我們的匯兌會比較不利
[243.92-247.60] 投資的話要看市場的狀況
[247.60-249.96] 因為我們手上有些少數無權投資
[249.96-252.32] 會隨著市場Mount to Market
[252.32-255.92] 所以這部分也比較不確定性高一些
[259.36-263.68] 所以稅前淨利在第一季的時候是來到157億
[263.68-266.24] 這個比去年同期增加了79%
[266.24-268.72] 比第四季也增加了59%
[268.72-272.72] 主要是第四季業外的部分比較差
[272.72-277.00] EBITDA的話就第一季有231
[277.00-279.00] 比去年同期增加54%
[279.00-281.36] 比第四季增加35%
[283.28-286.32] 所得稅的有效稅率是稍微提高一點
[286.32-289.12] 大概有到23%左右
[289.12-292.96] 這個比過去幾年是要來得高一點
[292.96-296.32] 主要就是因為這個OECD最低稅賦的關係
[296.32-299.04] 我們認列比較高的稅率
[299.04-302.08] 非控制權益的部分也增加得比較明顯
[302.08-304.88] 主要是因為泰達電那邊
[304.88-306.24] 獲利增加得比較多
[306.24-308.16] 所以我們就多認一些
[308.16-312.00] 整個稅後淨利的話
[312.00-314.56] 在第一季是來到102.3億
[314.56-317.76] 這個金額比去年同期增加78%
[317.76-320.72] 比第四季是增加了43%
[321.84-323.68] 所以換算成EPS的話
[323.68-325.84] 在第一季是3.94元
[325.84-327.84] 這個是歷史第二高
[330.72-333.76] 我的報告就很快到這裡
[342.00-344.00] 在開放Q&A之前
[344.00-346.16] 我對Q1的數字
[346.16-348.80] 尤其是Revenue跟Profit這邊
[348.80-351.04] 稍微做點comment
[351.04-353.76] 剛才Rani有講到
[355.76-356.80] Power這邊
