[0.16-6.60] 各位投资先进,重福科技股份有限公司线上法人说明会正式开始。
[7.20-12.96] 首先为各位介绍今日公司出席长官,第一位于思平总经理。
[14.12-16.88] 各位投资先进,大家好,我是于思平。
[18.40-20.48] 第二位黄昭伟副总。
[21.68-27.22] 各位产业先进前辈,大家午安,我是重福科黄昭伟,谢谢大家。
[27.22-31.58] 第三位,练香炉业务处长。
[32.98-38.38] 各位投资先进,午安,我是业务处长练香炉。
[39.76-43.98] 第四位,叶映湖研发资深处长。
[45.76-49.68] 各位先进,大家好,我是研发资深处长叶映湖。
[51.48-54.46] 第五位,严正勤财务处长。
[55.74-57.20] 各位投资先进,大家好,我是严正勤财务处长。
[57.22-58.36] 大家好,我是严正勤。
[60.14-63.66] 接下来我们把时间交给于总经理,谢谢。
[65.78-74.82] 感谢各位投资先进参加重福在2025年的第一季的一个法说会。
[75.48-80.64] 接下来我就把时间交给我们的团队,跟各位做说明。
[87.22-97.80] 好,那这个是今天的一个agenda,那这边是免责声明。
[99.32-106.38] 那大家好,我是财务处长,那这边公司简介由我这边来做报告。
[109.06-114.98] 那重福公司呢,重福科技股份有限公司呢,成立于1997年。
[114.98-117.18] 那我们在2004年的3月。
[117.22-119.78] 已经IPO上市。
[120.38-126.44] 那目前的资本额是7.8亿,那整个员工的人数有540人以上。
[127.30-132.70] 那针对全球的布局,我们目前的一个制造基地是台湾,还有中国大陆。
[133.50-140.54] 那销售服务包含,包含代理商,通路商,全球有10个据点以上。
[141.12-144.90] 那2024年的一个营收是34.18亿。
[145.34-147.20] 那2023年的营收是34.18亿。
[147.22-148.96] 那2024年的营收是39.16亿。
[150.16-158.22] 那在地区分别,在亚洲是34%,美洲是占46%,欧洲占20%。
[159.94-163.26] 那接下来是第四季的财务结果。
[165.26-172.22] 2024年第四季销务金额7亿9500万,年增2%,季增11%。
[172.22-177.02] 那主要是在年底的时候客户在调节库存。
[177.22-181.06] 所以整个第四季的成长动能有放缓。
[182.54-189.48] 那营业毛利率是25%,主要因为产品组合的获利较佳,也优于去年同期的22%。
[189.88-196.00] 营业净利是7300万,年增1100万,季减1200万。
[196.70-203.44] 归属母公司本期净利4700万,年增600万,季减1200万。
[204.12-207.02] 每股盈余0.6,与去年同期持平。
[207.22-210.54] 但较上季0.76元下滑。
[215.00-221.62] 2024年度的销售金额34亿1800万,年减13%。
[223.84-227.10] 营业毛利率25%,优于前期的24%。
[227.66-232.02] 营业净利3亿2600万,年减7000万。
[232.70-237.02] 归属母公司本期净利2亿2300万,年减7000万。
[237.22-241.58] 每股盈余5600万,年减2.93%。
[246.18-248.18] 接下来,这一页是应用面。
[248.18-252.84] 我们整个公司主要有产品,主要分为四大应用面。
[252.84-256.94] 也就是传播、工控、特殊车辆跟医疗。
[256.94-266.28] 在2024年的一个传播出货,属于传播应用面的一个营业额是11.9亿。
[266.28-269.60] 公司的公司账数是5.5亿,占35%。
[269.60-273.20] 公控应用面是8.1亿,占24%。
[273.20-277.04] 特殊车辆5.5亿,占16%。
[277.04-280.10] 医疗5.5亿,占16%。
[280.10-287.28] 接下来是合并资产负债。
[287.28-293.24] 截至2024年12月31号,公司的总资产总计是37亿5400万。
[293.24-295.24] 公司的总资产总计是37亿5400万。
[295.24-296.24] 公司的总资产总计是37亿5400万。
[296.28-301.14] 现金节约当现金大幅提升至13.06亿,占整个资产的35%。
[301.14-305.20] 现金节约当现金大幅提升至13.06亿,占整个资产的35%。
[305.20-309.36] 季增12%、年增38%。
[309.36-314.48] 主要是因为我们在2024年3月IPO现金增支有5亿。
[314.48-316.76] 主要是因为我们在2024年3月IPO现金增支有5亿。
[316.76-319.28] 在应收账款7亿1千万,年增30%。
[319.28-321.94] 在应收账款7亿1千万,年增30%。
[321.94-323.54] 主要在,因为在跟前期比较是两期的客户的货物比较分别。
[323.54-327.04] 在跟前期的比较是两期的客户的
[327.04-331.58] 收款天数条件有所差异所导致的
[331.58-336.40] 另外在存货有5亿4200万
[336.40-338.68] 季减12%年减10%
[338.68-341.50] 反映公司持续对库存的一个控管
[341.50-344.58] 不动产厂房及设备
[344.58-350.30] 大致维持在7亿7600万左右
[350.30-352.94] 在负债方面
[352.94-355.88] 流动负债9亿0400万
[355.88-358.58] 季减3%年减1%
[358.58-363.96] 资产权益总计是27.76亿
[363.96-366.88] 季增2%年增20%
[366.88-370.76] 主要还是因为2024年的
[370.76-372.48] 三月IPO现金增资
[372.48-373.88] 整体而言
[373.88-376.56] 公司的财务结构是稳健的
[376.56-378.88] 资产负债表也持续优化
[378.88-382.84] 接下来在
[382.84-384.36] 财务的重要指标
[384.36-387.60] 在2024年的12月31号的
[387.60-391.10] 应收账款周转天数为67天
[391.10-393.48] 存货周转天数81天
[393.48-397.32] 应付账款周转天数为57天
[397.32-402.10] 整个的一个营运资金周转天数
[402.10-403.96] 也就是CCC91天
[403.96-406.92] 那较去年同期也下滑了8天
[406.92-411.36] 在流动比率是289%
[411.36-412.82] 也优于上一期的
[412.84-415.60] 跟前期的一个数字
[415.60-421.30] 那在权益的报酬率是11%
[421.30-424.68] 那以上是财务报告
[424.68-432.08] 那接下来是营业营运状况及未来展望
[432.08-432.52] 好
[432.52-435.64] 那接下来我请研发资深处长
[435.64-440.12] 叶映竹跟各位先进做报告
[440.12-441.48] 各位投资先进
[441.48-442.52] 大家好
[442.84-445.72] 我是研发资深处长叶映竹
[445.72-450.92] 接下来我来报告有关产品发展方向的部分
[450.92-452.40] 那可以看得到
[452.40-458.40] 众福一样是在这四大领域来做产品的发展
[458.40-461.24] 第一个领域是休闲航海
[461.24-463.12] 然后特殊车辆
[463.12-464.96] 工控以及医疗
[464.96-466.56] 这四大领域
[466.56-469.04] 在休闲航海部分
[469.04-472.48] 推广超宽屏与大尺寸的应用
[472.48-475.36] 发展高解析度新产品线
[475.36-479.44] 来打造新世代高阶游行仪表
[479.44-481.68] 那在特殊车辆部分
[481.68-484.68] 我们顺应绿能车辆的趋势
[484.68-487.76] 开发智能电动车仪表整机
[487.76-491.24] 来垂直整合软硬体的系统方案
[491.24-494.08] 扩展特殊车辆产品线
[494.08-498.20] 有关这摊垂直整合软硬体的系统方案
[498.20-502.32] 我们现在新开发了MCU Platform Embedded
[502.48-505.36] 也就是内存式的MCU Platform
[505.36-507.16] 然后我们做到垂直整合
[507.16-512.08] 提供客户一个系统整机的方案
[512.08-514.36] 那在工控的部分
[514.36-517.44] 自户外耐候性显示器
[517.44-520.68] 扩展到人机界面的系统
[520.68-524.00] 强化整机解决方案的开发
[524.00-529.48] 提供2475高规格的户外耐候产品
[529.48-532.48] 那这边的2475意思代表是
[532.48-535.92] 一天24小时一个礼拜7天
[535.92-538.40] 连续点亮5年
[538.40-542.16] 这样子的高规格户外耐候产品
[542.16-543.56] 那我们同时也推出
[543.56-547.28] Open Frame Monitor的系统产品
[547.28-548.92] 那在医疗方面
[548.92-551.36] 与医疗大厂合作开发
[551.36-554.00] 图像引导治疗系统
[554.00-558.56] 那大尺寸的专业医疗显示器
[558.56-560.08] 好的
[560.08-561.60] 下一位
[562.48-565.56] 那众福依旧如同以往
[565.56-569.04] 我们会参与各大展会参展
[569.04-571.76] 我们直接与客户面对面沟通
[571.76-575.52] 让客户来体验我们的新产品
[575.52-578.76] 那众福的专业技术
[578.76-580.08] 光学贴耳
[580.08-583.08] 还有先进触控技术为核心
[583.08-585.08] 那其实我们有四大核心
[585.08-587.24] 底下我们依序来介绍
[587.24-589.24] 那我们利用这四大核心
[589.24-591.92] 来扩展户外产户型耐候性产品
[592.48-594.28] 那我们的主要目标
[594.28-597.60] 就是在户外耐候性的专业显示器
[597.60-600.68] 我们在专业的制成技术
[600.68-603.24] 包含了防水制成
[603.24-606.56] 以及专业的光学贴合
[606.56-609.12] 那在我们的产品设计
[609.12-612.20] 提供了客户更多的附加价值
[612.20-615.52] 包含圆形 超宽屏
[615.52-617.76] 以及刚刚提到的系统整合
[617.76-620.36] 上下垂直整合 软硬体
[620.36-621.60] 提供客户
[621.60-624.68] 然后在户外耐候性的产品验证
[624.68-628.20] 我们有极端气候的宽温规格
[628.20-629.28] 还有不关机
