[0.00-14.00] 向午好,各位投資先進,接下來介紹誠信實業股份有限公司的發展展望,請下一頁。
[14.00-22.00] 免則聲明,提供各位投資先進閱讀理解。
[22.00-30.00] 下一頁。
[30.00-34.00] 今天的簡報,包含目錄裡面有五項。
[34.00-36.00] 第一,公司概況。
[36.00-38.00] 第二,營運概況。
[38.00-40.00] 第三,產業概況及市場地位。
[40.00-42.00] 第四,財務資訊。
[42.00-45.00] 第五,營業計畫與未來展望。
[45.00-49.00] 下一頁。
[49.00-51.00] 公司概況。
[51.00-52.00] 下一頁。
[52.00-54.00] 第二頁。
[54.00-59.00] 誠信實業股份有限公司董事長陳鵬、總經理謝亞敏,
[59.00-67.00] 實收資本額5.49億左右,以發行股數3,800多萬股。
[67.00-73.00] 員工人數116人,行業別非金屬礦物製品製造業。
[73.00-77.00] 公司有兩座工廠,有營廠以及中科廠。
[77.00-78.00] 下一頁。
[78.00-80.00] 下一頁。
[80.00-81.00] 下一頁。
[81.00-87.00] 淡燕設備,虛擬孩子城市期 fierce 8佰公司僱傭ibel。
[87.00-88.00] 前唱想買嗎。
[88.00-89.00] 下一頁。
[89.00-90.00] 第三頁。
[90.00-93.00] 李結 better, предлаг意義公司改屬知識,不支離公司的營業期還得10分。
[93.00-95.00] Михette Glazariaua,想成為第一個眼 就先 past,提 Haha,這是一個 Bulls-Eye.
[95.00-97.00] 在 schema,建成老板等等的營業感。
[97.00-99.00] 取消許多 informing証據。
[99.00-100.42] 為民間社會性活動和�Beast持續發展。
[100.42-110.70] 同當, WRGs要 unwilling to Challange.,否則並
[111.00-135.40] 请问总计先有跳到吗
[135.40-136.94] 有看到
[136.94-137.76] 抱歉
[137.76-138.82] 请继续
[138.82-140.96] 公司严格
[140.96-143.74] 成信在2019年设立
[143.74-147.04] 在2020年申请进驻
[147.04-150.38] 柳林科技工业区建设柳林厂
[150.38-155.24] 同年我们导入ISO9001的CNS的
[155.24-157.14] ISO的制度
[157.14-159.08] 并于11月取得证书
[159.08-161.20] 2021年11月
[161.20-164.34] 农货经济部中小企业创新研究奖
[164.34-168.50] 同年12月中科厂动土清建
[168.50-174.34] 2022年9月农货中金院台湾循环经济奖
[174.34-177.02] 中小企业杰出企业奖
[177.02-180.00] 创新技术奖点贩企业奖
[180.00-182.74] 以及农货行政院环保署
[182.74-185.88] 资源循环机油企业赢职奖
[185.88-188.14] 在2023年
[188.14-191.74] 我们中科厂取得工厂登记证
[191.74-194.88] 开始申请再利用相关执照
[194.88-197.74] 10月柳科厂完成
[197.74-199.04] 开展勘察
[199.04-203.42] 2024年7月中科厂开始生产制造
[203.42-206.18] 9月挂牌上市创新
[206.18-207.86] 代言
[207.86-213.76] 公司的组织架构
[213.76-217.98] 在股东会下有董事会董事长总经理
[217.98-220.78] 辖下审计委员会
[220.78-222.16] 薪酬委员会
[222.16-224.50] 集合室隶属于董事会
[224.50-226.40] 总经理室下
[226.40-227.70] 法案卫生
[227.74-231.06] 资讯师人力资源室
[231.06-235.42] 之下我们有几大处是创新开刮处
[235.42-239.68] 柳科厂中科厂业务处财务处
[239.68-241.26] 以及行政处
[241.26-247.46] 下一页
[247.46-250.78] 核心经营团队的五人
[250.78-253.86] 董事长陈鹏总经理谢亚敏
[253.86-257.74] 副总经理周兴辉财务长詹子怡以及
[257.74-261.58] 创新开发处处长王明龙协理
[261.58-265.94] 下一位
[265.94-268.74] 公司营运盖矿介绍
[268.74-276.68] 下一页
[276.68-282.06] 经营理念介绍在天然矿物资源逐渐跨解的现代
[282.06-285.90] 废弃物矩阵如何将废弃物取代天然矿产资源以废料为主
[285.90-286.66] 以废料为主
[287.74-298.24] detto
[298.24-303.10] 这次我们 Roundphone 当满
[303.10-305.14] 生意模式
[305.14-308.02] nehmer
[308.02-312.96] virtually
[312.96-316.66] 吉默加工生产 approach
[316.66-317.70] przex
[317.74-321.58] 下游客戶藉由銷售產品獲得訂單
[322.10-327.22] 誠信對於上游以及下游是屬於銜接循環的角色
[327.46-330.80] 我們跟供應鏈一起分享永續
[331.06-333.62] 我們追求這樣的循環供應鏈
[333.86-337.96] 可以保護我們的天然環境的耗節會和緩
[338.22-340.02] 然後永續社會的發展
[340.26-341.04] 下一頁
[344.88-347.18] 在整個產業特性方面
[347.18-350.26] 首先我們要來認識的是廢棄物
[350.50-353.32] 廢棄物是沒有用的東西
[353.58-359.72] 它是一個你可以想成去焚化裡或是掩埋場要處理的這些東西
[359.98-363.30] 現在中間我們看到紅色的
[363.56-367.40] 它是一個二次或是再生資源
[367.66-372.52] 我們可以在生活四周裡面有一些有價的物質
[372.78-377.14] 我們會去收集分類然後把它交給特定的區域
[377.38-378.20] 去焚化對象
[378.46-383.06] 那這樣的回收的過程我們在舉手做環保的時候
[383.32-385.38] 就已經知道它具有價值了
[385.88-390.50] 所以這些顯而易見已經被認定的二次資源跟再生資源
[390.74-395.86] 就是我們把廢棄物裡面挑撿出來可以回用的這個部分
[396.12-399.20] 那我們現在看到的這個圖
[399.46-400.98] 因為它動畫不見
[401.50-404.58] 所以二次資源發展一直到最後
[405.08-406.88] 會越來越大越來越大
[407.38-411.28] 所以以後廢棄物的認定不是能用的就是不能用的
[411.54-414.10] 可是在發展成這樣的過程
[414.34-418.44] 在這個紅色的二次資源的定義的初期
[418.70-420.24] 它並紅色沒有這麼大
[420.50-425.62] 在紅色跟黑色的中間有一個綠色的循環經濟發展的過程
[425.86-429.20] 那現在的紅色已經是最大化
[429.46-431.24] 這叫我們未來的願景
[431.50-433.54] 那現在紅色還很小
[433.80-437.14] 我們很多的資源物都還是被棄置當成廢棄物
[437.38-438.72] 去粉花爐燈也埋藏
[438.98-442.56] 所以誠信實驗主要就是在做綠色
[442.82-446.66] 現在已經被覆蓋的這個圖上被覆蓋的部分
[446.90-450.24] 我們做的循環經濟將來還有很大的空間
[450.50-454.58] 就是再生資源有一些還是物不去廢棄物的領域
[454.84-458.18] 我們會一步一步的把循環經濟擴大
[458.42-464.58] 然後把二次資源最大化變成紅色跟黑色有一個中間的界面完全消失
[464.82-466.36] 現在的這個狀態
[467.38-473.58] 甚至是我們這個產業現在正在成長發展的過程的一個產業特性
[473.84-474.60] 下一頁
[478.44-484.58] 循環經濟的本身它有一個很需要注重的經濟過濾的程序
[484.84-490.22] 誠信實驗在說循環經濟有一個設計的邏輯
[490.48-492.78] 我們叫循環經濟123
[493.04-495.08] 123是個步驟
[495.08-499.18] 如何從廢棄物轉化為資源物的一個做法
[499.44-504.56] 首先第一個動作是先把廢棄物它的狀況拿出來做體檢
[504.80-506.34] 理解它的價值
[506.60-508.40] 可能有什麼
[508.64-514.80] 那體檢完之後我們再根據這些價值所帶到的產品市場去做
[515.04-516.84] 產品的適用跟定位
[517.36-519.66] 第一個動作就是找產品市場
[519.92-524.26] 那這個產品市場在尋找以及客戶初步評斷的同時
[524.52-525.04] 會定義為
[525.34-526.88] 可以出它的單價
[527.38-529.68] 比如說它的單價是10塊
[529.94-533.28] 那我們就要找10塊可以接受的成本
[533.52-535.32] 假設是5塊或是6塊
[535.58-538.14] 我們在接下來找的是第3步
[538.40-543.52] 如何有這個redesign的加工路徑把它的成本控制在
[544.02-550.16] 產品售價合理的成本之下的加工程序或以及中間的路段
[550.42-551.96] 這樣就可以確保
[552.22-553.24] 投入的
[553.50-554.78] 廢棄物
[554.78-555.80] 經過了
[556.06-558.36] 目標產品的價格定位
[558.88-560.92] 可以接受的處理成本
