[0.00-5.56] 各位投资生计大家午安
[5.56-8.20] 欢迎参加中化合成生技股
[8.20-10.58] 本有限公司线上法人说明会
[10.58-14.56] 首先为大家介绍今天代表出席的经营团队
[14.56-18.00] 首先欢迎魏庆鹏总经理
[18.00-22.52] 成定期业务处副总经理
[22.52-24.64] 各位好
[24.64-27.56] 以及王冠杰财务部经理
[27.56-32.16] 接下来将先由公司进行
[32.16-35.92] 2024年第四季的营运成果及未来展望简报
[35.92-39.34] 提醒各位投资先进稍后QA交流时间
[39.34-41.40] 如果您有问题想要提出的话
[41.40-44.88] 您可以先在聊天室留下您的公司宝号及姓名
[44.88-46.64] 在QA时间的时候
[46.64-48.86] 我们将依序唱明打开您的麦克风
[48.86-50.26] 全线进行提问
[50.26-55.26] 接下来我们将时间交给陈益勤副总经理进行简报
[57.56-59.10] 各位投资先进
[59.10-59.86] 各位大家好
[59.86-63.70] 今天是我们这个2024年第四季的法人说明会
[63.70-66.78] 那我们就来看一下我们今天的一个内容
[66.78-74.20] 好
[74.20-76.50] 这是我们一个简单的免责声明
[76.50-79.68] 那公司开放的话我们并没有太大的一个改变
[79.68-83.56] 包括那个员工的人数大约维持300人
[83.56-86.70] 然后在这个去年的营收大概13.47亿
[87.56-93.44] 我们成立在1964年是第一家经过美国FDA查查通过的原料药制造商
[93.44-97.54] 在97年转型成为有这个生物发酵科技
[97.54-101.12] 跟有机合成这样的基础的一个工厂
[101.12-105.74] 在2000年时候我们也转投资一个美国的公司在宾州
[105.74-112.14] 2010年的时候我们是在台湾的股票市场上市挂牌
[112.14-115.46] 对主要的核心竞争力是说
[115.46-117.52] 我们有除了一般的能量
[117.56-119.86] 化学合成的技术之外
[119.86-122.42] 我们也有生物还有发酵的这样的技术
[122.42-127.54] 所以我们运用两种技术来做一些比较特殊地基的一个原料药
[127.54-129.60] 也就是API
[129.60-132.16] 然后再供应到第二条也说明
[132.16-136.00] 包括美国欧洲等等法规的市场
[136.00-138.56] 在我们申请那个药证的时候
[138.56-143.42] 也就会把我们所有的产品在这些市场都申请所谓的原料药的
[143.42-145.72] 长按就是Drop Must Fire
[145.72-147.52] 这个重点也是放在一个
[147.52-148.80] 外销的市场
[148.80-150.60] 经营这些法规的市场
[150.60-152.12] 那我们公司的能力是从
[152.12-154.44] 小的批量一直研发到量产
[154.44-157.50] 能够提供一站式的服务给不同的
[157.50-161.08] 制药的客户
[161.08-163.40] 这些是一个清单
[163.40-165.96] 重点的说明我们在美国
[165.96-169.02] 申请了刚才所谓的DMF的这些产品
[169.02-171.32] 那也包括了很多
[171.32-172.86] 包括发酵类的
[172.86-176.70] 还有刚才讲用到两种技术都用到的所谓半合成
[176.70-178.50] 这样的一个API
[178.50-181.56] 所以我们在前几年也都有新增
[181.56-184.38] 新的一个DMF来过程中的
[184.38-187.70] 产品线除了现有的产品之外
[187.70-191.80] 我们也有一些新的一个布局跟机会
[191.80-193.86] 那最主要核心产品就是
[193.86-197.70] 说到去年带来的一个最主要的营收来源
[197.70-201.54] 变化的重点还是这几个产品
[201.54-205.12] 那我们比较有成长是最下面一个就是Costco
[205.12-206.66] 防茧是一种抗生菌
[206.70-208.24] 的药物
[208.24-212.08] 我们在最大市场是在欧洲是用在一个增基的
[212.08-213.62] 那前三个产品
[213.62-216.68] 就跟上一回报告的内容
[216.68-218.98] 就是产品的项目是一样的
[218.98-222.32] 包括了免疫医治用的还有抗癌的药
[222.32-223.86] 还有我们这个鱼油
[223.86-228.20] 是一个降三酸钙原子体成用药
[228.20-233.84] 那最主要的市场在美国我们也会再做进一步的说明
[233.84-236.66] 这个因为我们已经都把这个资料上传在
[236.70-243.36] 这个网站上大家可以再仔细看一下这样的内容
[243.36-246.42] 那进一步我们就一个产品别之外
[246.42-250.78] 我们也从那个地域别就是不同的市场来做一个说明
[250.78-252.32] 大家可以看得出来说
[252.32-254.88] 我们在去年的一个比例来说
[254.88-257.18] 我们相对来讲
[257.18-259.48] 美国市场的一个
[259.48-263.84] 就是说在我们营收的比例来讲是比往年要下降很多
[263.84-266.14] 那当然相对看起来其他的
[266.70-269.52] 区域比例是提升啦
[269.52-272.34] 那最主要的这个产品别
[272.34-274.90] 就可以看出来我们最主要的一个
[274.90-277.70] 布局就是说主要产品其实都在美国市场
[277.70-282.32] 包括刚才前面列的这几个产品都是在美国有做销售
[282.32-285.14] 那其他不同的产品比如说比较
[285.14-287.70] 特别的像那个最右方这个
[287.70-291.28] Costco Fungent这个产品最主要的市场会是在
[291.28-294.10] 欧洲 当然亚洲也有部分
[294.10-296.40] 这个是我们最主要的布局
[296.40-300.76] 在台湾市场的话相对这样的营收比较小
[300.76-301.78] 大概是
[301.78-304.08] 大概13个percent
[304.08-308.68] 也就是一个产品主要是Taglimas 也因此起的一个销售
[308.68-311.50] 那其他的话包括第2
[311.50-317.14] 亚洲区域最完整的所有的产品项目都有做销售
[317.14-318.92] 好我们再看
[318.92-323.02] 下一个也是用大概产品的类别来做一个分类
[323.02-325.32] 那我们可以看得出来
[325.32-326.36] 我们
[326.40-329.22] 先占比例是最大的一个合成
[329.22-333.32] 就是包括于欧洲这个产品以蓝色部分显示的这一循环
[333.32-336.64] 从去年应该超过50%
[336.64-338.18] 现在可能
[338.18-342.02] 就是最大的一个差异是今年下降到30%
[342.02-343.56] 那其他的比例像
[343.56-344.58] 看来
[344.58-347.14] 最主要的一个当然就是我们的Aprilimus这个产品
[347.14-348.42] 绿色的部分显示
[348.42-352.26] 然后它现在已经超过我们一半的一个这样的营收
[352.26-353.80] 那其他还有一个我们
[353.80-356.36] 重要的Aprilimus包括刚才讲在台湾
[356.40-361.26] 还有日本这些市场销售的这个每亿一字计的话大概占18%
[361.26-363.06] 这是我们的概况
[363.06-367.92] 可以做一个跟那个去年的一个比较
[367.92-372.28] 那我们就说明一下最近的一些我们的投入
[372.28-373.80] 包括capacity方面
[373.80-377.90] 我们在去年完成的那个Tasco Fungions的一个
[377.90-379.96] 确效的放大之后
[379.96-386.36] 去年年底开始就是渐渐在做这个安装跟布局这个执程的放大来提升
[386.40-387.68] 我们产品的竞争
[387.68-390.24] 因为现在Aprilimus应该是我们
[390.24-394.60] 相对来讲是最大最重要的一个获利的一个来源
[394.60-397.40] 那另外呢我们一个很重要的布局是
[397.40-400.48] 采购去生产这个Semabrutine
[400.48-404.32] 这个大家会有听到就是现在也非常红的一个
[404.32-408.68] 呃算是糖尿病跟减肥用药的一个原料药
[408.68-412.52] 那我们采用的是一个半虫除Semabrutine的一个产品
[412.52-416.10] 我们也在近期做采购这样的设备
[416.40-418.44] 做下一步的一个放大
[418.44-423.56] 那目前的研发都已经进行
[423.56-424.84] 那在法规方面的话
[424.84-427.16] 我们去年是非常特殊的一年
[427.16-431.00] 我们同时通过了欧洲美国跟那个日本的
[431.00-433.04] 茶厂从香港都在同一年发生
[433.04-435.60] 因为这个这些官方通常
[435.60-436.88] 都是几年
[436.88-438.92] 才会来我们工厂茶厂
[438.92-440.98] 我想别的同业也一样
[440.98-444.04] 但是在去年可能是疫情因为比较减缓了
[444.04-445.32] 因为疫情那几天
[445.32-446.36] 来到厂来茶厂
[446.36-448.40] 那个官方比较少
[448.40-449.44] 去年我们
[449.44-452.50] 一次就是接受了三个不同的authority
[452.50-456.34] 那这些的官方厂长他们都非常的严谨
[456.34-458.90] 那也针对我们的产品的这个品质
[458.90-460.70] 各个层面都做了非常
[460.70-461.98] 详细的考察
[461.98-464.54] 那我们也都顺利的通过
[464.54-466.58] 在比较没有
[466.58-468.38] 缺失的这个情况下
[468.38-469.92] 所以在这个三个市场来讲
[469.92-473.24] 我们还是保持非常大的一个优势
[473.24-475.28] 可以在做量产生产的时候
[475.28-476.32] 都同样还是可以
[476.36-479.68] 继续供应到这些市场
[479.68-482.50] 那最下面也就是说我们在ESG方面
[482.50-484.80] 我们持续的在做这个社区
[484.80-486.34] 统老的一些
[486.34-487.88] 慈善的一个关怀
[487.88-490.44] 还有社区的一个互动
[490.44-491.46] 今年在
[491.46-493.76] 4月也有这样的一个安排
[493.76-496.08] 就在我们临近的这个社区
[496.08-499.66] 进行一些跟那个社区的一些
[499.66-501.96] 包括一起
[501.96-505.54] 办了一些活动啊用餐还有这种一些
[505.54-508.86] 简单的礼品来关怀我们周遭的
[508.86-510.66] 这些需要关怀的
[510.66-512.70] 老人家跟邻居
[512.70-516.54] 那最下面是一个第三方的certified
[516.54-517.32] 就是说
[517.32-519.88] 通过那个EcoBuddies的一个评理
[519.88-521.92] 获得一个轻松奖
[521.92-523.72] 是属于在这个平台
[523.72-525.26] 当然是比较
[525.26-527.56] 好的公司比较会愿意去注册啦
[527.56-529.86] 那这样的平台我们也获得在
[529.86-531.14] 至少在前面
[531.14-533.96] 35%的一个GEO厂商
[535.54-537.58] 在展望方面我们当然该
[537.58-541.68] 也说明了我们在做的CostcoBudget跟EV的放大同时
[541.68-544.50] 我们也逐步去增加市场的一个渗透率
[544.50-546.04] 那在法规
[546.04-548.60] 注册和通过这个法规变更
[548.60-552.18] 这是我们一个非常重要的做这个Life Cycle的一个一个
[552.18-555.50] 优化变更的时候我们可以把更有
[555.50-560.88] 效率更有竞争力的制程去导入然后再扩大市场的一个占领
[560.88-563.44] 这些都需要非常多的
[563.44-565.50] 跟客户的一个协同合作
[565.54-567.34] 所以也是相对的
[567.34-571.68] 很多A客人很大的一个价值让他愿意投入进一步的一个
[571.68-573.98] 扩大市场的一个
[573.98-579.10] 包括法规品质上的一个变更跟官方去做申请取得核准等等
[579.10-582.18] 但是这些东西虽然就是有方面来讲很坦高
[582.18-584.48] 如果都通过这样的一个模式
[584.48-589.34] 客户要去更换掉我们去换别家他们的成本也是非常高
[589.34-591.90] 所以这是一个经营部巩固我们
[591.90-592.94] 那个
[592.94-595.24] 这个市场一个很重要的一个
[595.24-597.80] 精进我们不是说用原先
[597.80-602.16] 最旧的一个制程是说还是同样的这样即便是一个
[602.16-604.46] 已经在市场上
[604.46-609.58] 量产的一个产品还是在进行制程的优化还有包括在
[609.58-613.92] 品质上面也都能够维持跟原先一样的一个标准
[613.92-618.80] 那最后来讲我们就是说有在新药还有一些CT能耗方面然后
[618.80-620.58] 希望增加营收
[620.58-623.40] 来布局一个新药成长的动能
[623.40-625.20] 那甚至我们有一些是接
[625.24-627.54] 学名药的一个CMO
[627.54-629.84] 包括我们的客户是在欧洲的
[629.84-631.38] 然后我们的产品也都
[631.38-634.72] 开始在那个欧洲的市场做销售
[634.72-635.74] 这是我们一个
