[0.00-4.28] 现在武汉建大工业股份有限公司的发言会正式开始
[4.28-7.76] 今天非常荣幸可以邀请到刘慧君发言人
[7.76-11.18] 杨亚婷经理带大家一同了解公司的营运概况
[11.18-14.04] 那接下来我们时间先交给杨经理
[14.04-14.40] 谢谢
[14.40-18.34] 好那大家好
[18.34-24.16] 那欢迎大家来参加2025年Q2的建大公司公开法说会
[24.16-27.74] 那今天的法说会呢还是分成
[27.74-30.10] 照往例就是分成两个session
[30.10-33.92] 那第一个部分呢会有我稍微简单说明一下
[33.92-37.56] 公司2025年上半年营运的状况
[37.56-41.04] 那接下来会有我们的刘慧君刘发言人呢
[41.04-43.20] 来进行QA的部分
[43.20-44.66] 好
[44.66-55.08] 稍等一下
[55.08-55.10] 稍等一下
[55.10-57.16] 稍等一下
[57.16-57.72] 稍等一下
[57.72-57.74] 稍等一下
[57.74-57.98] ok
[57.98-58.34] ok
[58.34-64.30] 那照往例
[64.30-69.16] 我们还是先简单说明一下公司一些基本资料
[69.16-71.28] 好
[71.28-78.98] 建大目前呢是世界上排名前五名的自行车胎的制造公司
[78.98-82.72] 我们目前呢日常的那个生产量的话
[82.72-86.26] daily的生产量我们可以达到80万条的轮胎
[86.26-87.56] 就是外台家那一胎
[87.56-87.72] 我们目前呢日常的那个生产量的话
[87.72-88.32] 是有10亿的美金哦
[88.32-90.98] 我们在亚洲目前有7个生产工厂
[90.98-99.96] 那在2024年我们的营业收入呢也是超过10个10个10亿的美金哦
[99.96-103.56] 那目前我们全球有超过12000个员工
[103.56-111.94] 在全球4个地方包含美国欧洲台湾以及中国大陆地区呢都设有研发中心
[111.94-117.00] 那我们正式专任的研发人员也已经超过300位了
[117.00-117.50] 那我们正式专任的研发人员也已经超过300位了
[117.72-118.32] 那我们正式专任的研发人员也已经超过300位了
[118.32-118.72] 那在过去这两年呢2024年到2025年呢
[118.72-123.08] 那在过去这两年呢2024年到2025年呢
[123.08-127.72] 我们也我们的产品也受到许多奖项的认可
[127.72-130.32] 包含2024年的经典设计奖
[130.32-133.28] 2024年的国家品牌玉山奖
[133.28-135.56] 美国的ida的国际设计奖
[135.56-137.32] 还有台湾的精品奖
[137.32-141.12] 那都给了我们许多的荣耀
[141.12-146.12] 那这个是我们主要的营业据点的分布哦
[146.12-146.86] 那刚刚有提到我们在亚洲的经济设计奖呢
[146.86-149.20] 那刚刚有提到我们在亚洲的经济设计奖
[149.20-151.20] 有7个生产工厂哦
[151.20-155.16] 除了台湾,除了亚洲的7个生产工厂之外呢
[155.16-159.26] 在美国及欧洲都分别设有轮圈的生产
[159.26-163.42] 以及轮圈与轮胎的组装的工厂哦
[163.42-168.02] 那美国以及欧洲的这些生产厂呢
[168.02-173.48] 主要的目的是为了工业用车胎的这个区块
[173.48-176.00] 那因为在这个液态的分布啊
[176.00-176.84] 就是工业用车胎的这个车胎的这个区块
[176.84-179.92] 因为用车胎的客户他会比较喜欢
[179.92-184.52] 就是说我们是把一个我们的出产的产品是一个轮圈组的方式
[184.52-187.24] 轮圈加轮胎组装起来的轮
[187.24-191.32] 一个轮圈一个轮胎组的方式就是贩售
[191.32-192.96] 他们会比较喜欢这样子的模式
[192.96-197.28] 所以我们在美国以及欧洲都有做一个垂直整合的动作
[197.28-202.96] 把这个轮圈制造以及轮胎的制造把它整合在一起
[202.96-208.32] 那在亚洲的部分就是比较是纯粹的轮胎制造工厂
[208.32-213.24] 在中国大陆地区我们原本有三间的工厂
[213.24-216.62] 但是我们的深圳工厂因为配合当地政策的需求
[216.62-219.60] 已经在去年中的时候完全停产
[219.60-221.38] 然后转成销售公司
[221.38-225.74] 原本的厂区已经开始进行土地开发的计划
[225.74-229.24] 那此外还有一间在昆山的工厂
[229.24-231.24] 以及一间在天津的工厂
[231.24-232.94] 在越南我们有两间工厂
[232.94-234.86] 在台湾有两间工厂
[234.86-236.42] 在印尼有一间工厂
[236.42-243.08] 那我们的产品基本上是销售非常多的区域
[243.08-247.22] 在全球的五大洲基本上都是可以看到我们的产品
[247.22-251.46] 这是我们美国子公司分布的区域
[251.46-256.20] 在上一次的法说会之中我们有提到
[256.20-260.12] 我们在美国的一个轮圈制造工厂
[260.12-262.60] Martin Hill在212的Akron
[262.60-265.22] 有新建一个轮圈的工厂
[265.22-269.02] 那目前这个工厂已经接近完工状态
[269.02-275.66] 下面这两个图是目前它的工程的进度
[275.66-278.98] 可以看到目前整个建筑体都已经起来
[278.98-282.38] 目前已经在进行设备的装置的动作
[282.38-287.18] 目前是预计在2025年的第三季应该就可以正式的启用
[287.18-289.10] 好
[289.10-292.60] 那这是我们的欧洲子公司分布的情况
[292.60-295.92] 我们的研发中心在欧洲的主要国家
[295.92-301.36] 基本上我们都有就是这个销售的公司
[301.36-304.12] 还有制造的工厂
[304.12-310.00] 刚刚有提到我们在全世界有四个研发中心
[310.00-311.54] 分别在美国的Akron
[311.54-312.82] 在德国的UberSea
[312.82-316.16] 还有中国的昆山
[316.16-317.94] 还有台湾的云林这边
[317.94-320.50] 我们都设立有研发中心
[320.50-322.58] 那在德国这边的话呢?我们为了研发中心的研发中心
[322.60-327.20] 我们也会在2025年来也可能会扩建扩大我们的研发中心的范畴
[327.20-332.58] 就是我们也可能会在另外一个地方
[332.58-333.86] 就是可能在柏林这附近呢
[333.86-337.70] 我们也会设置一个新的一个研发中心
[337.70-345.64] 那我们也持续的在永续发展方面有很多的琢磨
[345.64-347.94] 那这里因为今天时间有限
[347.94-349.74] 那我就是讲一下
[349.74-351.52] 大家在现在的时候呢
[351.52-352.56] 我们2024年的
[352.56-356.14] 一些国际对于我们的ESG平等都已经出来了
[356.14-359.22] 那像2024年的FTSRUSO
[359.22-361.00] 2024年的S&P Global
[361.00-363.06] 以及2024年的公司治理评鉴
[363.06-364.84] 我们的成绩都已经出来了
[364.84-366.90] 那像FTSRUSO呢
[366.90-371.00] 我们成绩呢叫2023年还上升了0.2个等级
[371.00-372.52] S&P Global的话呢
[372.52-375.60] 我们也是叫2023年上升了8分
[375.60-379.96] 那公司治理评鉴的话我们是持平的
[379.96-382.52] 那在永续发展方面呢
[382.56-384.10] 我们也是多有琢磨
[384.10-386.14] 希望能够更上一层楼
[386.14-393.06] 以上呢就是简单的公司介绍
[393.06-394.60] 那接下来的话
[394.60-398.18] 我就要开始说明一下我们各个产品别
[398.18-399.20] 各个胎别
[399.20-401.50] 近期的营运状况
[401.50-407.14] 目前的这个画面是
[407.14-412.00] 从2022年到2024年的4月份为止
[412.00-415.08] 我们的主要产品别
[415.08-418.14] 目前销售的比较的状况
[418.14-419.68] 那可以看到
[419.68-422.76] 我们把这个产品别主要分成三种区块
[422.76-425.56] 最左边是所谓的自行车内外胎
[425.56-426.84] 中间的部分呢
[426.84-432.22] 我们是把这个摩托车胎以及工业用车胎合并在一起
[432.22-433.24] 白看
[433.24-436.32] 那最右边的部分呢是辐射层轮胎
[436.32-439.14] 那这个部分主要就是我们的轿车胎
[439.14-441.96] 所谓的PCR轿车胎的部分
[442.00-443.80] 那可以看到
[443.80-445.32] 摩托车胎
[445.32-447.64] 以及工业用车胎
[447.64-449.68] 在我们的集团内
[449.68-451.72] 其实销售一直非常的稳定
[451.72-453.52] 占比一直非常的稳定
[453.52-458.38] 这个市场摩托车胎以及工业用车胎的市场
[458.38-461.20] 不管是在我们内部或者外面的市场呢
[461.20-463.00] 都是相对于比较稳定
[463.00-464.28] 就是说我们的
[464.28-466.32] 施占率呀还有销售状况
[466.32-468.62] 都是一个比较
[468.62-471.18] 受到比如说过去COVID-19的影响
[471.18-471.70] 会受到影响
[471.70-471.96] 但是
[472.00-475.08] 拖动幅度不会那么的大
[475.08-477.88] 但是呢自行车胎跟我们的辐射层轮胎
[477.88-480.96] 就是有点像一个翘翘板那样子
[480.96-484.04] 在去年底上一次的法术会其实我们就有提到
[484.04-487.88] 我们其实有看到自行车胎
[487.88-489.66] 春雁大概有在回来
[489.66-492.22] 慢慢慢慢的已经脱离到那个低谷
[492.22-495.04] 要开始往上升
[495.04-497.34] 但是相对而言
[497.34-500.16] 在PCR的部分我们的份额就是
[500.16-501.70] 有点像翘翘板
[501.70-504.78] 虽然说那个PCR部分我们的销量可能是维持
[504.78-507.84] 一样但是因为自行车胎往上升
[507.84-509.90] 所以说自行车胎的占比就会往上升
[509.90-513.74] 我们那个PCR的占比就会稍微下降
[513.74-517.82] 但是如果说回到2022年的那个水准的话基本上我们是三分天下
[517.82-520.14] 类似像三分天下的一个状态
[520.14-523.46] 但是到2024年1到4月份为止的话
[523.46-525.26] 目前来讲还是
[525.26-528.06] 辐射层轮胎我们的销售占比
[528.06-528.58] 还是
[528.58-531.66] 大过于那个自行车但是问题是自行车胎我们的确有看到
[531.66-534.74] 它的确是已经开始在
[534.74-535.50] 慢慢的
[535.50-537.30] 慢慢的回升了
[537.30-538.82] 好
[538.82-542.16] 那以上的话就是目前我们产品
[542.16-545.74] 各个产品那个销售的一个简单的比较
[545.74-546.76] 那
[546.76-550.60] 我想如果有在关心我们公司的人的话
[550.60-551.62] 应该
[551.62-555.46] 知道说我们在亚洲的各个生产工厂
[555.46-558.28] 其实或多或少都有出口美国的
[558.28-559.82] 份额
[559.82-561.62] 所以我们今天也会花一点时间
[561.66-563.46] 稍微说明一下
[563.70-567.30] 美国近期的关税政策对于我们
[567.30-569.86] 营运的影响
[569.86-570.36] 好
[571.38-575.22] 川普政府在1月上台之后呢就
[575.22-577.78] 陆续发布了很多的贸易政策
[577.78-581.88] 最开始声量新闻很多的当然就是美加墨
[582.14-583.16] 的关税
[583.16-584.96] 美加墨边境的关税
[585.46-588.54] 然后呢接下来就是类似像贸易
[588.80-591.10] 贸易扩张法232条款
[591.10-591.62] 还有所谓的
[591.62-593.66] 对等关税的部分
[594.18-595.98] 那时间轴的部分呢就请
[596.22-598.02] 参阅一下现在画面上的
[598.28-598.78] 资料
[599.30-602.12] 在3月份的时候呢首先宣布的是对
[602.38-604.68] 钢铁铝产品加增25%的关税
[604.68-606.22] 这个是232条款的范畴
[606.72-611.08] 4月3号的时候呢也是一样是进口关税加增25%的关税
[611.08-611.84] 232条款
[612.10-612.86] 就是进口
[613.12-614.66] 进口汽车整车
[614.92-616.96] 加增25%关税的上路
[618.24-620.30] 那这里也是要一起提的是
[620.54-621.58] 5月3号
[621.84-625.16] 对于所有进车零组件加增25%关税
[625.42-626.70] 这个也是232条款
[626.70-629.26] 这个是晚那个汽车整车关税
[629.78-631.82] 一个月的这个条款
[632.08-633.62] 那这个也是属于232条款
[634.38-637.20] 那除了这个232条款之外呢
[637.46-640.26] 那当然4月初的时候还有一个
[641.04-642.82] 比较轰动的就是那个
[643.08-644.10] 川普政府的
[644.36-645.90] 对等关税的部分
[646.66-647.18] 好
[647.44-647.94] 那
[648.72-651.28] 接下来呢先简单
[651.58-653.88] 讲一下就是这个reciprocal tariff
[654.14-655.68] 就是这个美国对等关税
[656.44-656.96] 在
[658.24-659.26] 川普政府
[659.52-661.56] 他在宣布这个对等关税的时候
[661.82-665.40] 那他们拿出来的资料是目前画面上的这个资料
[665.66-667.70] 那这份资料是如何影响
[667.96-669.50] 我们建大公司呢
[669.76-672.58] 我们就用这张图来说明一下
[672.82-676.16] 在右半边的时候在右半边的这个部分的有
[676.42-677.70] 有简单
[677.94-678.72] 讲一下说
[678.98-680.76] 在亚洲呢我们在
[681.02-681.28] 中国
[681.58-683.38] 在越南台湾印度有设厂
[684.14-685.16] 这四个国家
[685.68-687.46] 都在对等关税的名单之内
[687.98-689.52] 所被课征的关税呢
[689.78-692.08] 就如同现在画面上所示的
[692.58-695.14] 中国原本是被课征34%
[695.66-699.24] 那越南是46%台湾32%印度32%
[699.50-700.52] 但是中国
[701.80-704.36] 如果在关注新闻的话应该都知道说
[704.62-708.20] 中美之间在三四五月的时候有很多的
[708.46-709.22] 攻防
[709.48-711.02] 那一度曾经提高到
[711.02-712.04] 145%
[712.30-713.06] 但现在在
[713.32-713.84] 5月
[714.10-714.60] 在
[714.86-717.16] 5月14号的时候呢目前有
[717.42-718.18] 有一个
[719.46-724.84] 协定就是说先降到30%就是他们之间的关税目前先降到30%
[725.10-726.64] 那其余的部分呢
[726.90-728.18] 目前都是
[728.42-729.46] 暂缓
[729.70-730.74] 实施90天
[730.98-731.50] 所以
[731.76-734.58] 除了中国之外其他的地方呢目前是
[735.08-737.64] 都是10%的一个基准关税的部分
[738.66-739.18] 好
[739.18-745.32] 那除了我们除了会受到这个对等关税的影响之外呢我们还有刚刚讲的这个贸易扩张法
[745.58-750.44] 那这个贸易扩张法呢是一个1962年的一个条款
[750.96-754.28] 那他的调查机关的是美国的商务部以及
[754.54-756.08] 产业安全部
[756.58-762.48] 这个调查机关了只要认定这个进口产品可能会造成美国国安的威胁
[762.98-765.30] 他的确就赋予了美国总统
[765.54-766.06] 可以
[766.32-767.08] 绕过
[767.34-768.88] 国会或者是WTO
[769.18-770.46] 这些人才宣布的一个
[770.72-772.50] 一个关税的政策
[773.02-775.58] 所以说刚刚有提到的像
[776.10-777.62] 钢铁旅的产品
[777.88-778.66] 或者是
[778.90-780.96] 汽车车零组件
[781.22-784.02] 都是受到这个贸易扩张法232条的
[785.30-786.84] 课程的范围
[788.12-791.20] 那讲了这么多那我们的产品
[791.46-794.52] 搭配以前曾经有的这些反请
[794.78-796.06] 反请销反补贴的
[796.32-797.60] 反补贴的这些
[797.86-799.14] 关税啊到底我们现在
[799.44-801.48] 出口到美国
[801.74-804.30] 我们的美国进口商到底还有多少的
[806.10-806.60] 税
[806.86-810.44] 就是税负必须要承担我们又整理了一个表
[813.78-819.92] 这里的胎别我还是把它区分为我们刚刚在做那个销售比较的那个胎别
[820.18-821.70] 分别是自行车胎
[821.96-823.24] 摩托车胎
[823.50-825.54] 及工业用车胎以及轿车胎
[825.80-828.36] 那这部分的话都是包含内外胎的部分
[829.44-831.48] 以自行车胎来讲的话
[832.76-836.60] 如果不是在中国地区生产是在其他地中国
[836.86-838.90] 以外的其他地区生产的话呢
[839.16-841.22] 我们以后可能会收到的关税的
[842.24-844.54] 进口商可能收到需要被课证的关税呢
[844.80-847.62] 是基础关税本来就有的4%
[847.86-849.14] 再加上对的关税
